pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,ZTeator1,R,FF,10,50,700.6,357.6,721.1,331.5,33.3,5.72,20.6,3.53,arm-side,-3.53,26.2,4.49,high,-4.49,DM,MA,inside,1.667
2,ZTeator1,R,FF,10,79,695.8,355.4,706.1,316.2,40.5,6.96,10.3,1.77,arm-side,-1.77,39.2,6.73,high,-6.73,DM,MM,inside,2.633
3,ZTeator1,R,FF,10,52,702.6,362.8,721.6,331.9,36.2,6.22,18.9,3.25,arm-side,-3.25,30.9,5.31,high,-5.31,DM,MA,inside,1.733
4,ZTeator1,R,SL,10,40,685.2,344.0,627.7,444.9,116.2,19.94,57.5,9.87,glove-side,9.87,100.9,17.33,low,17.33,DM,,inside,1.333
5,ZTeator1,R,FF,10,45,702.9,358.4,696.7,353.7,7.8,1.35,6.3,1.08,glove-side,1.08,4.7,0.81,high,-0.81,DM,MM,inside,1.500
6,ZTeator1,R,SL,10,33,693.9,354.8,668.9,433.7,82.8,14.22,25.0,4.28,glove-side,4.28,79.0,13.56,low,13.56,DM,,inside,1.100
7,ZTeator1,R,FF,10,41,692.2,354.3,687.1,337.1,17.9,3.08,5.1,0.87,glove-side,0.87,17.2,2.95,high,-2.95,DM,MM,inside,1.367
8,ZTeator1,R,SL,10,47,702.6,398.2,715.6,401.1,13.3,2.28,13.0,2.22,arm-side,-2.22,2.9,0.50,low,0.50,DM,DM,inside,1.567
9,ZTeator1,R,FF,10,38,710.0,363.3,715.3,410.9,47.9,8.22,5.2,0.90,arm-side,-0.90,47.6,8.17,low,8.17,DM,,inside,1.267
10,ZTeator1,R,SL,10,34,700.6,353.7,635.6,422.2,94.4,16.20,64.9,11.15,glove-side,11.15,68.5,11.76,low,11.76,DM,,inside,1.133
11,ZTeator1,R,FF,10,61,701.2,346.6,750.8,317.8,57.3,9.83,49.5,8.50,arm-side,-8.50,28.7,4.93,high,-4.93,DM,,inside,2.033
12,ZTeator1,R,SL,10,35,698.8,354.5,682.9,386.0,35.4,6.07,15.9,2.73,glove-side,2.73,31.6,5.42,low,5.42,DM,DM,inside,1.167
13,ZTeator1,R,FF,10,36,683.9,342.8,701.6,318.4,30.1,5.16,17.7,3.04,arm-side,-3.04,24.3,4.18,high,-4.18,DM,MA,inside,1.200
14,ZTeator1,R,FF,10,42,681.0,346.2,744.7,439.7,113.2,19.43,63.7,10.94,arm-side,-10.94,93.6,16.07,low,16.07,DM,,inside,1.400
15,ZTeator1,R,SL,10,43,681.5,353.3,711.9,299.4,61.9,10.62,30.4,5.22,arm-side,-5.22,53.9,9.25,high,-9.25,DM,UA,inside,1.433
16,ZTeator1,R,FF,10,32,687.3,352.0,717.5,403.4,59.6,10.24,30.2,5.18,arm-side,-5.18,51.4,8.83,low,8.83,DM,,inside,1.067
17,ZTeator1,R,FF,10,73,705.1,389.6,704.2,338.7,50.9,8.74,0.9,0.16,glove-side,0.16,50.9,8.74,high,-8.74,DM,UM,inside,2.433
