pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,BBurk1,R,FF,10,56,707.7,479.9,542.0,465.9,166.2,24.99,165.6,42.66,glove-side,42.66,14.0,3.62,high,-3.62,DM,,outside,1.867,1
2,BBurk1,R,FF,10,63,708.1,477.6,568.6,488.1,139.9,24.99,139.5,35.91,glove-side,35.91,10.5,2.71,low,2.71,DM,,outside,2.100,1
3,BBurk1,R,SL,10,63,705.2,470.7,724.0,559.9,91.2,23.48,18.8,4.83,arm-side,-4.83,89.2,22.98,low,22.98,DM,,outside,2.100,0
4,BBurk1,R,SI,10,77,707.8,476.2,747.0,400.8,85.0,21.88,39.2,10.09,arm-side,-10.09,75.4,19.41,high,-19.41,DM,,outside,2.567,0
5,BBurk1,R,SI,10,59,712.2,472.5,716.5,467.3,6.8,1.74,4.3,1.10,arm-side,-1.10,5.2,1.35,high,-1.35,DM,MM,outside,1.967,0
6,BBurk1,R,SI,10,78,711.0,480.8,705.0,419.5,61.6,15.86,6.0,1.54,glove-side,1.54,61.3,15.78,high,-15.78,DM,,outside,2.600,0
7,BBurk1,R,SI,10,65,704.4,475.7,728.6,493.3,29.9,7.70,24.2,6.23,arm-side,-6.23,17.6,4.53,low,4.53,DM,DA,outside,2.167,0
8,BBurk1,R,SI,10,43,704.1,468.6,758.6,543.1,92.3,23.78,54.5,14.04,arm-side,-14.04,74.5,19.19,low,19.19,DM,,outside,1.433,0
9,BBurk1,R,FF,10,113,710.1,470.6,685.5,474.6,24.8,6.40,24.5,6.32,glove-side,6.32,3.9,1.01,low,1.01,DM,DI,outside,3.767,0
10,BBurk1,R,CH,10,53,701.8,472.2,633.5,526.1,87.0,22.40,68.3,17.59,glove-side,17.59,53.9,13.88,low,13.88,DM,,outside,1.767,0
11,BBurk1,R,SI,10,60,710.5,472.1,642.5,486.4,69.5,17.89,68.0,17.50,glove-side,17.50,14.3,3.69,low,3.69,DM,,outside,2.000,0
12,BBurk1,R,SI,10,111,709.9,477.4,771.0,415.8,86.8,22.35,61.2,15.75,arm-side,-15.75,61.6,15.86,high,-15.86,DM,,outside,3.700,0
13,BBurk1,R,SI,10,64,706.2,475.7,709.0,492.2,16.7,4.31,2.8,0.72,arm-side,-0.72,16.5,4.25,low,4.25,DM,DM,outside,2.133,0
14,BBurk1,R,FF,10,145,709.8,472.2,669.0,438.5,52.9,13.62,40.8,10.51,glove-side,10.51,33.7,8.67,high,-8.67,DM,,outside,4.833,0
