pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,BReid1,R,FF,10,43,681.7,479.5,706.8,497,30.6,7.88,25.1,6.47,arm-side,-6.47,17.5,4.5,low,4.5,DM,DA,outside,1.433,0
2,BReid1,R,FF,10,53,685.5,490.2,758.3,423.1,99,24.99,72.8,18.75,arm-side,-18.75,67.1,17.28,high,-17.28,DM,,outside,1.767,1
3,BReid1,R,FF,10,101,590.5,470.9,657.2,522.2,84.2,21.68,66.8,17.2,arm-side,-17.2,51.3,13.2,low,13.2,DM,,inside,3.367,0
4,BReid1,R,FF,10,57,690.5,490.7,709.5,555.9,67.9,17.49,19,4.9,arm-side,-4.9,65.2,16.79,low,16.79,DM,,outside,1.9,0
5,BReid1,R,FF,10,114,679.2,480.6,709.8,481.8,30.6,7.89,30.6,7.88,arm-side,-7.88,1.2,0.31,low,0.31,DM,DA,outside,3.8,0
6,BReid1,R,FS,10,61,693.9,483.2,681.3,558.4,76.2,19.63,12.6,3.25,glove-side,3.25,75.2,19.36,low,19.36,DM,,outside,2.033,0
7,BReid1,R,FF,10,84,691,475.9,710.8,523.4,51.5,13.26,19.8,5.11,arm-side,-5.11,47.5,12.23,low,12.23,DM,,outside,2.8,0
8,BReid1,R,FF,10,81,695.1,487.9,720.2,452.9,43,11.08,25.1,6.46,arm-side,-6.46,35,9,high,-9,DM,UA,outside,2.7,0
9,BReid1,R,FF,10,99,692.1,481.6,761.6,388.3,116.4,24.99,69.5,17.91,arm-side,-17.91,93.3,24.03,high,-24.03,DM,,outside,3.3,1
10,BReid1,R,FS,10,40,688.5,482.8,672.6,556,74.9,19.29,15.8,4.08,glove-side,4.08,73.2,18.85,low,18.85,DM,,outside,1.333,0
11,BReid1,R,FF,10,51,690.8,484.5,659.5,397.3,92.7,23.87,31.3,8.07,glove-side,8.07,87.2,22.47,high,-22.47,DM,,outside,1.7,0
12,BReid1,R,FF,10,62,691.6,488.3,762.5,510.3,74.2,19.11,70.9,18.25,arm-side,-18.25,22.1,5.68,low,5.68,DM,,outside,2.067,0
13,BReid1,R,FF,10,78,704.7,478.4,771.2,477.5,66.4,17.11,66.4,17.11,arm-side,-17.11,0.9,0.24,high,-0.24,DM,,outside,2.6,0
14,BReid1,R,FF,10,154,708.9,481.4,788.8,525.8,91.4,23.54,79.9,20.57,arm-side,-20.57,44.5,11.45,low,11.45,DM,,outside,5.133,0
15,BReid1,R,FF,10,53,706,481,736.7,517.4,47.6,12.25,30.7,7.91,arm-side,-7.91,36.3,9.35,low,9.35,DM,,outside,1.767,0
16,BReid1,R,FF,10,84,697.1,480.7,645.3,494,53.4,13.75,51.7,13.32,glove-side,13.32,13.2,3.41,low,3.41,DM,,outside,2.8,0
