pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,BShapiro1,R,SI,10,68,707.9,474.1,739.2,493.7,36.9,9.50,31.3,8.06,arm-side,-8.06,19.6,5.05,low,5.05,DM,DA,outside,2.267
2,BShapiro1,R,SI,10,77,723.2,476.4,751.7,498.9,36.4,9.37,28.6,7.36,arm-side,-7.36,22.5,5.80,low,5.80,DM,DA,outside,2.567
3,BShapiro1,R,SI,10,56,765.6,469.0,690.1,528.8,96.3,24.79,75.4,19.43,glove-side,19.43,59.8,15.40,low,15.40,DM,,outside,1.867
4,BShapiro1,R,SI,10,77,720.9,475.1,789.2,445.2,74.6,19.21,68.3,17.60,arm-side,-17.60,29.9,7.70,high,-7.70,DM,,outside,2.567
5,BShapiro1,R,SI,10,50,707.4,478.5,726.7,493.5,24.5,6.30,19.3,4.96,arm-side,-4.96,15.1,3.89,low,3.89,DM,DA,outside,1.667
6,BShapiro1,R,SI,10,64,706.5,482.9,778.6,471.2,73.1,18.84,72.2,18.59,arm-side,-18.59,11.7,3.02,high,-3.02,DM,,outside,2.133
7,BShapiro1,R,SL,10,42,677.7,471.7,689.1,463.1,14.3,3.68,11.4,2.93,arm-side,-2.93,8.7,2.23,high,-2.23,DM,MA,outside,1.400
8,BShapiro1,R,SI,10,62,711.6,476.9,669.7,483.3,42.4,10.92,41.9,10.79,glove-side,10.79,6.4,1.65,low,1.65,DM,,outside,2.067
9,BShapiro1,R,SL,10,54,679.8,482.7,583.8,512.5,100.5,25.88,96.0,24.71,glove-side,24.71,29.8,7.68,low,7.68,DM,,outside,1.800
10,BShapiro1,R,SI,10,54,710.5,494.9,689.7,555.3,63.8,16.44,20.8,5.36,glove-side,5.36,60.3,15.54,low,15.54,DM,,outside,1.800
11,BShapiro1,R,SL,10,51,674.4,470.4,620.8,470.6,53.6,13.80,53.6,13.80,glove-side,13.80,0.2,0.04,low,0.04,DM,,outside,1.700
12,BShapiro1,R,SI,10,64,702.3,473.3,718.1,405.3,69.7,17.95,15.7,4.05,arm-side,-4.05,67.9,17.49,high,-17.49,DM,,outside,2.133
13,BShapiro1,R,SI,10,84,699.5,481.3,708.7,496.2,17.6,4.52,9.2,2.36,arm-side,-2.36,15.0,3.86,low,3.86,DM,DM,outside,2.800
14,BShapiro1,R,FS,10,75,697.4,486.8,677.6,515.6,34.9,9.00,19.8,5.10,glove-side,5.10,28.8,7.42,low,7.42,DM,,outside,2.500
