pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,BValente1,R,FF,10,76,1182.6,625.1,1132.8,640.4,52.1,8.94,49.8,8.55,glove-side,8.55,15.3,2.63,low,2.63,DM,,outside,2.533
2,BValente1,R,FF,10,101,1194.5,629.7,1251.0,579.3,75.7,13.00,56.6,9.71,arm-side,-9.71,50.4,8.65,high,-8.65,DM,,outside,3.367
3,BValente1,R,FF,10,98,1100.5,610.7,1133.5,654.9,55.1,9.47,33.0,5.67,arm-side,-5.67,44.2,7.58,low,7.58,DM,,outside,3.267
4,BValente1,R,FF,10,68,1176.1,636.8,1267.8,571.6,112.5,19.32,91.7,15.74,arm-side,-15.74,65.3,11.21,high,-11.21,DM,,outside,2.267
5,BValente1,R,SL,10,85,1151.2,631.5,1153.5,681.0,49.5,8.50,2.3,0.39,arm-side,-0.39,49.5,8.50,low,8.50,DM,,outside,2.833
6,BValente1,R,SL,10,90,1178.7,622.7,1003.0,737.2,209.7,19.99,175.7,30.16,glove-side,30.16,114.5,19.66,low,19.66,DM,,outside,3.000
7,BValente1,R,SL,10,82,1166.4,620.3,999.8,758.1,216.2,19.99,166.6,28.60,glove-side,28.60,137.8,23.66,low,23.66,DM,,outside,2.733
8,BValente1,R,FF,10,112,1188.1,618.9,1223.7,679.2,70.0,12.02,35.6,6.11,arm-side,-6.11,60.3,10.35,low,10.35,DM,,outside,3.733
9,BValente1,R,FF,10,95,1189.7,629.8,1116.0,685.9,92.6,15.91,73.7,12.66,glove-side,12.66,56.1,9.63,low,9.63,DM,,outside,3.167
10,BValente1,R,FF,10,74,1196.3,623.0,1168.6,591.1,42.3,7.26,27.7,4.75,glove-side,4.75,31.9,5.48,high,-5.48,DM,MI,outside,2.467
11,BValente1,R,FF,10,115,1186.1,618.6,1162.0,669.3,56.2,9.64,24.1,4.14,glove-side,4.14,50.7,8.71,low,8.71,DM,,outside,3.833
12,BValente1,R,SL,10,79,1171.6,614.0,1154.3,497.0,118.3,19.99,17.3,2.97,glove-side,2.97,117.1,20.10,high,-20.10,DM,,outside,2.633
13,BValente1,R,FF,10,125,1181.2,618.0,1109.5,747.4,147.9,19.99,71.7,12.31,glove-side,12.31,129.3,22.21,low,22.21,DM,,outside,4.167
14,BValente1,R,FF,10,78,1177.3,611.8,1118.9,670.4,82.6,14.19,58.3,10.01,glove-side,10.01,58.6,10.05,low,10.05,DM,,outside,2.600
15,BValente1,R,FF,10,130,1189.3,643.7,1217.0,582.1,67.6,11.60,27.7,4.76,arm-side,-4.76,61.6,10.58,high,-10.58,DM,UA,outside,4.333
