pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,CBurrows1,R,FF,10,87,671.7,338.0,672.1,428.9,90.8,15.59,0.4,0.07,arm-side,-0.07,90.8,15.59,low,15.59,DM,,inside,2.900,0
2,CBurrows1,R,FF,10,67,672.7,339.9,692.8,360.8,29.0,4.98,20.1,3.46,arm-side,-3.46,20.9,3.59,low,3.59,DM,DA,inside,2.233,0
3,CBurrows1,R,SL,10,62,669.3,341.7,714.4,430.2,99.3,17.06,45.1,7.75,arm-side,-7.75,88.5,15.20,low,15.20,DM,,inside,2.067,0
4,CBurrows1,R,FF,10,89,665.0,340.0,736.1,308.8,77.6,13.33,71.1,12.20,arm-side,-12.20,31.2,5.35,high,-5.35,DM,,inside,2.967,0
5,CBurrows1,R,SL,10,64,689.7,345.5,642.2,326.8,51.1,8.78,47.6,8.17,glove-side,8.17,18.7,3.21,high,-3.21,DM,MI,inside,2.133,0
6,CBurrows1,R,FF,10,45,661.5,351.5,686.1,362.0,26.8,4.60,24.7,4.23,arm-side,-4.23,10.4,1.79,low,1.79,DM,DA,inside,1.500,0
7,CBurrows1,R,SL,10,40,706.7,348.7,761.1,428.9,96.9,16.64,54.4,9.34,arm-side,-9.34,80.2,13.77,low,13.77,DM,,inside,1.333,0
8,CBurrows1,R,FF,10,44,712.6,346.3,748.3,417.2,79.3,13.62,35.7,6.13,arm-side,-6.13,70.8,12.16,low,12.16,DM,,inside,1.467,0
9,CBurrows1,R,FF,10,52,717.1,344.5,755.4,400.4,67.7,11.62,38.3,6.57,arm-side,-6.57,55.8,9.58,low,9.58,DM,,inside,1.733,0
10,CBurrows1,R,FF,10,59,718.6,342.2,759.9,369.9,49.8,8.55,41.3,7.10,arm-side,-7.10,27.7,4.76,low,4.76,DM,DA,inside,1.967,0
11,CBurrows1,R,FF,10,38,660.6,342.8,682.6,357.2,26.2,4.50,22.0,3.77,arm-side,-3.77,14.3,2.46,low,2.46,DM,DA,inside,1.267,0
12,CBurrows1,R,SL,10,46,678.5,339.6,748.9,439.5,122.2,19.99,70.3,12.08,arm-side,-12.08,99.9,17.15,low,17.15,DM,,inside,1.533,1
13,CBurrows1,R,FF,10,54,659.6,344.6,665.4,342.6,6.1,1.05,5.8,0.99,arm-side,-0.99,2.0,0.34,high,-0.34,DM,MM,inside,1.800,0
14,CBurrows1,R,FF,10,40,714.2,341.7,720.6,347.4,8.6,1.47,6.4,1.10,arm-side,-1.10,5.7,0.98,low,0.98,DM,DM,inside,1.333,0
15,CBurrows1,R,SL,10,66,723.1,342.3,741.1,381.8,43.5,7.47,18.1,3.10,arm-side,-3.10,39.6,6.80,low,6.80,DM,DA,inside,2.200,0
16,CBurrows1,R,SL,10,60,740.8,346.8,745.1,329.3,17.9,3.08,4.2,0.72,arm-side,-0.72,17.4,2.99,high,-2.99,DM,MM,inside,2.000,0
17,CBurrows1,R,FF,10,51,662.3,343.9,672.5,354.2,14.5,2.49,10.2,1.75,arm-side,-1.75,10.3,1.77,low,1.77,DM,DM,inside,1.700,0
18,CBurrows1,R,FF,10,79,664.9,342.7,704.8,394.5,65.5,11.24,39.9,6.86,arm-side,-6.86,51.9,8.90,low,8.90,DM,,inside,2.633,0
19,CBurrows1,R,FF,10,65,662.1,347.2,648.6,309.4,40.1,6.88,13.5,2.31,glove-side,2.31,37.8,6.48,high,-6.48,DM,MM,inside,2.167,0
20,CBurrows1,R,FF,10,65,665.0,344.2,660.9,335.0,10.1,1.74,4.1,0.71,glove-side,0.71,9.3,1.59,high,-1.59,DM,MM,inside,2.167,0
21,CBurrows1,R,FF,10,72,665.6,342.4,651.4,319.5,27.0,4.63,14.2,2.44,glove-side,2.44,22.9,3.93,high,-3.93,DM,MM,inside,2.400,0
22,CBurrows1,R,FF,10,47,667.5,361.5,746.6,370.9,79.6,13.67,79.0,13.57,arm-side,-13.57,9.5,1.62,low,1.62,DM,,inside,1.567,0
23,CBurrows1,R,FF,10,51,662.1,350.6,680.6,355.9,19.3,3.31,18.5,3.18,arm-side,-3.18,5.3,0.92,low,0.92,DM,DA,inside,1.700,0
24,CBurrows1,R,FF,10,56,610.2,331.5,611.4,358.1,26.6,4.56,1.1,0.19,arm-side,-0.19,26.6,4.56,low,4.56,DM,DM,inside,1.867,0
25,CBurrows1,R,FF,10,58,665.2,354.9,706.1,332.9,46.5,7.98,40.9,7.03,arm-side,-7.03,22.0,3.78,high,-3.78,DM,MA,inside,1.933,0
