pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,CDoan1,R,FF,10,49,684.5,488.1,725.7,515.0,49.2,12.66,41.2,10.61,arm-side,-10.61,26.8,6.91,low,6.91,DM,,outside,1.633,0
2,CDoan1,R,SL,10,53,681.8,490.8,732.3,485.4,50.8,13.09,50.5,13.01,arm-side,-13.01,5.4,1.38,high,-1.38,DM,,outside,1.767,0
3,CDoan1,R,FF,10,52,690.5,494.6,761.4,476.9,73.1,18.83,71.0,18.27,arm-side,-18.27,17.7,4.55,high,-4.55,DM,,outside,1.733,0
4,CDoan1,R,SL,10,36,683.2,483.5,688.7,493.3,11.2,2.88,5.4,1.40,arm-side,-1.40,9.8,2.51,low,2.51,DM,DM,outside,1.200,0
5,CDoan1,R,FF,10,41,607.7,473.3,548.1,468.5,59.8,15.41,59.6,15.36,glove-side,15.36,4.7,1.22,high,-1.22,DM,,inside,1.367,0
6,CDoan1,R,SL,10,46,695.0,494.3,641.0,516.4,58.3,15.02,54.0,13.91,glove-side,13.91,22.1,5.68,low,5.68,DM,,outside,1.533,0
7,CDoan1,R,FF,10,55,695.6,487.9,685.9,449.9,39.2,10.09,9.7,2.50,glove-side,2.50,38.0,9.78,high,-9.78,DM,UM,outside,1.833,0
8,CDoan1,R,FF,10,48,692.7,489.5,747.1,453.8,65.0,16.75,54.4,14.01,arm-side,-14.01,35.6,9.18,high,-9.18,DM,,outside,1.600,0
9,CDoan1,R,SL,10,44,690.0,482.2,662.4,526.6,52.3,13.47,27.6,7.11,glove-side,7.11,44.4,11.44,low,11.44,DM,,outside,1.467,0
10,CDoan1,R,SL,10,45,695.2,485.3,701.3,509.1,24.6,6.34,6.1,1.57,arm-side,-1.57,23.8,6.14,low,6.14,DM,DM,outside,1.500,0
