pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,Csmith1,L,FF,10,67,1057.7,728.6,1074.6,663.0,67.7,11.63,16.8,2.89,arm-side,-2.89,65.6,11.27,high,-11.27,DM,UA,outside,2.233,0
2,Csmith1,L,FF,10,71,1071.7,734.2,1185.0,731.0,113.4,19.47,113.3,19.46,arm-side,-19.46,3.2,0.55,high,-0.55,DM,,outside,2.367,0
3,Csmith1,L,FF,10,43,1105.5,731.8,1148.8,697.6,55.2,9.47,43.3,7.43,arm-side,-7.43,34.2,5.88,high,-5.88,DM,MA,outside,1.433,0
4,Csmith1,L,FF,10,70,1062.7,721.5,1113.5,781.1,78.3,13.44,50.7,8.71,arm-side,-8.71,59.6,10.23,low,10.23,DM,,outside,2.333,0
5,Csmith1,L,FF,10,43,1142.6,716.9,1119.7,635.7,84.4,14.48,22.9,3.94,glove-side,3.94,81.2,13.94,high,-13.94,DM,UI,outside,1.433,0
6,Csmith1,L,FF,10,63,1059.3,746.5,1119.9,696.1,78.9,13.54,60.7,10.41,arm-side,-10.41,50.4,8.66,high,-8.66,DM,,outside,2.100,0
7,Csmith1,L,FF,10,100,1055.1,747.7,1121.3,691.1,87.1,14.96,66.2,11.37,arm-side,-11.37,56.6,9.71,high,-9.71,DM,,outside,3.333,0
8,Csmith1,L,FF,10,59,1062.2,740.8,1058.1,632.9,108.0,18.55,4.1,0.70,glove-side,0.70,108.0,18.53,high,-18.53,DM,,outside,1.967,0
9,Csmith1,L,SL,10,75,1126.7,718.6,1188.6,726.0,62.4,10.71,61.9,10.63,arm-side,-10.63,7.4,1.27,low,1.27,DM,,outside,2.500,0
10,Csmith1,L,FF,10,81,1182.4,746.3,1155.5,698.2,55.2,9.47,26.9,4.62,glove-side,4.62,48.2,8.27,high,-8.27,DM,UI,outside,2.700,0
