pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,DJames1,R,FF,10,77,708.4,359.4,697.5,405.0,46.8,8.04,10.9,1.87,glove-side,1.87,45.5,7.81,low,7.81,DM,,inside,2.567
2,DJames1,R,FF,10,66,716.3,398.7,703.9,371.5,30.0,5.14,12.3,2.12,glove-side,2.12,27.3,4.69,high,-4.69,DM,MM,inside,2.200
3,DJames1,R,FF,10,65,623.5,344.8,603.9,447.9,105.0,18.02,19.6,3.37,glove-side,3.37,103.1,17.70,low,17.70,DM,,inside,2.167
4,DJames1,R,FF,10,61,711.1,403.8,760.8,390.3,51.5,8.85,49.7,8.54,arm-side,-8.54,13.5,2.32,high,-2.32,DM,,inside,2.033
5,DJames1,R,FF,10,46,693.8,361.2,724.4,401.5,50.7,8.70,30.7,5.27,arm-side,-5.27,40.3,6.93,low,6.93,DM,DA,inside,1.533
6,DJames1,R,FF,10,58,695.4,361.1,681.1,354.2,15.9,2.73,14.4,2.46,glove-side,2.46,6.9,1.18,high,-1.18,DM,MM,inside,1.933
7,DJames1,R,FF,10,41,696.4,362.6,750.7,348.0,56.2,9.65,54.3,9.32,arm-side,-9.32,14.6,2.50,high,-2.50,DM,,inside,1.367
8,DJames1,R,FF,10,47,707.5,357.0,769.4,391.8,71.0,12.19,61.8,10.62,arm-side,-10.62,34.8,5.98,low,5.98,DM,,inside,1.567
9,DJames1,R,CU,10,43,695.5,358.9,660.6,381.4,41.5,7.13,34.9,5.99,glove-side,5.99,22.5,3.86,low,3.86,DM,DI,inside,1.433
10,DJames1,R,FF,10,46,690.3,362.0,706.8,366.2,16.9,2.91,16.4,2.82,arm-side,-2.82,4.1,0.71,low,0.71,DM,DA,inside,1.533
11,DJames1,R,FF,10,50,702.5,352.9,738.3,340.4,37.8,6.50,35.7,6.13,arm-side,-6.13,12.5,2.15,high,-2.15,DM,MA,inside,1.667
12,DJames1,R,FF,10,47,691.4,355.3,723.3,432.7,83.7,14.37,31.9,5.47,arm-side,-5.47,77.4,13.28,low,13.28,DM,,inside,1.567
13,DJames1,R,FF,10,47,698.1,353.3,727.4,355.8,29.5,5.06,29.4,5.04,arm-side,-5.04,2.5,0.43,low,0.43,DM,DA,inside,1.567
14,DJames1,R,CU,10,44,691.4,366.4,662.5,414.5,56.2,9.64,29.0,4.97,glove-side,4.97,48.1,8.26,low,8.26,DM,,inside,1.467
15,DJames1,R,FF,10,74,697.3,346.0,578.7,395.3,128.4,19.99,118.6,20.36,glove-side,20.36,49.3,8.47,low,8.47,DM,,inside,2.467
16,DJames1,R,FF,10,35,690.1,347.2,722.6,402.4,64.0,10.99,32.4,5.57,arm-side,-5.57,55.2,9.48,low,9.48,DM,,inside,1.167
17,DJames1,R,FF,10,34,684.7,347.2,694.4,380.8,35.0,6.01,9.6,1.65,arm-side,-1.65,33.6,5.78,low,5.78,DM,DM,inside,1.133
18,DJames1,R,FF,10,32,691.4,355.8,700.7,353.8,9.6,1.64,9.3,1.60,arm-side,-1.60,2.0,0.35,high,-0.35,DM,MM,inside,1.067
19,DJames1,R,FF,10,39,694.4,342.2,698.7,443.5,101.4,17.41,4.3,0.74,arm-side,-0.74,101.3,17.40,low,17.40,DM,,inside,1.300
20,DJames1,R,FF,10,54,696.1,345.6,728.0,318.2,42.1,7.23,32.0,5.49,arm-side,-5.49,27.5,4.71,high,-4.71,DM,MA,inside,1.800
21,DJames1,R,CU,10,45,690.7,340.8,665.7,436.9,99.3,17.05,25.0,4.29,glove-side,4.29,96.1,16.50,low,16.50,DM,,inside,1.500
22,DJames1,R,FF,10,106,707.6,387.9,750.8,417.6,52.4,8.99,43.1,7.41,arm-side,-7.41,29.7,5.10,low,5.10,DM,DA,inside,3.533
23,DJames1,R,FF,10,39,683.8,339.0,741.1,372.1,66.2,11.37,57.4,9.85,arm-side,-9.85,33.1,5.69,low,5.69,DM,,inside,1.300
24,DJames1,R,FF,10,35,684.3,348.8,756.2,294.0,90.5,15.53,72.0,12.36,arm-side,-12.36,54.8,9.40,high,-9.40,DM,,inside,1.167
25,DJames1,R,CU,10,52,685.0,343.1,645.4,423.1,89.3,15.32,39.6,6.80,glove-side,6.80,80.0,13.73,low,13.73,DM,,inside,1.733
26,DJames1,R,FF,10,45,689.4,342.3,720.0,379.6,48.3,8.29,30.7,5.26,arm-side,-5.26,37.3,6.41,low,6.41,DM,DA,inside,1.500
27,DJames1,R,FF,10,57,694.5,344.1,694.4,378.1,33.9,5.83,0.1,0.02,glove-side,0.02,33.9,5.83,low,5.83,DM,DM,inside,1.900
28,DJames1,R,CU,10,63,696.9,363.1,686.0,438.0,75.7,12.99,11.0,1.88,glove-side,1.88,74.9,12.85,low,12.85,DM,,inside,2.100
29,DJames1,R,FF,10,60,694.6,340.7,679.5,350.1,17.8,3.06,15.2,2.61,glove-side,2.61,9.4,1.61,low,1.61,DM,DM,inside,2.000
30,DJames1,R,CU,10,33,681.8,338.1,711.1,359.1,36.0,6.18,29.3,5.03,arm-side,-5.03,21.0,3.60,low,3.60,DM,DA,inside,1.100
31,DJames1,R,FF,10,60,693.9,351.1,700.4,371.8,21.7,3.73,6.6,1.13,arm-side,-1.13,20.7,3.56,low,3.56,DM,DM,inside,2.000
32,DJames1,R,FF,10,32,714.2,345.0,723.8,363.2,20.6,3.53,9.5,1.64,arm-side,-1.64,18.2,3.13,low,3.13,DM,DM,inside,1.067
33,DJames1,R,FF,10,44,717.8,342.8,794.6,384.3,87.4,15.00,76.9,13.20,arm-side,-13.20,41.5,7.13,low,7.13,DM,,inside,1.467
34,DJames1,R,FF,10,85,701.9,348.6,783.0,348.5,81.1,13.93,81.1,13.93,arm-side,-13.93,0.1,0.02,high,-0.02,DM,,inside,2.833
35,DJames1,R,FF,10,96,700.0,338.8,759.8,352.9,61.4,10.54,59.7,10.26,arm-side,-10.26,14.1,2.42,low,2.42,DM,,inside,3.200
36,DJames1,R,FF,10,46,726.2,342.2,739.1,348.6,14.4,2.47,12.9,2.22,arm-side,-2.22,6.4,1.10,low,1.10,DM,DM,inside,1.533
37,DJames1,R,FF,10,41,691.6,354.9,671.6,426.3,74.2,12.73,19.9,3.42,glove-side,3.42,71.4,12.26,low,12.26,DM,,inside,1.367
38,DJames1,R,FF,10,82,690.9,353.0,723.2,351.2,32.4,5.56,32.3,5.55,arm-side,-5.55,1.7,0.30,high,-0.30,DM,MA,inside,2.733
39,DJames1,R,CU,10,59,686.7,348.6,663.8,419.5,74.5,12.79,22.9,3.94,glove-side,3.94,70.9,12.17,low,12.17,DM,,inside,1.967
40,DJames1,R,FF,10,31,624.4,348.5,629.0,396.8,48.5,8.33,4.7,0.80,arm-side,-0.80,48.3,8.29,low,8.29,DM,,inside,1.033
41,DJames1,R,CU,10,68,681.6,345.1,649.4,436.0,96.5,16.56,32.2,5.53,glove-side,5.53,90.9,15.61,low,15.61,DM,,inside,2.267
42,DJames1,R,FF,10,69,691.8,340.2,701.2,428.3,88.6,15.21,9.3,1.60,arm-side,-1.60,88.1,15.13,low,15.13,DM,,inside,2.300
43,DJames1,R,FF,10,37,718.6,338.5,709.3,297.6,42.0,7.21,9.3,1.60,glove-side,1.60,41.0,7.03,high,-7.03,DM,MM,inside,1.233
44,DJames1,R,FF,10,62,693.4,341.9,739.7,323.9,49.7,8.53,46.3,7.95,arm-side,-7.95,18.0,3.09,high,-3.09,DM,MA,inside,2.067
45,DJames1,R,CU,10,86,687.0,344.1,699.3,389.6,47.2,8.10,12.3,2.11,arm-side,-2.11,45.5,7.82,low,7.82,DM,,inside,2.867
46,DJames1,R,FF,10,56,626.9,335.5,670.0,402.2,79.4,13.64,43.1,7.39,arm-side,-7.39,66.7,11.46,low,11.46,DM,,inside,1.867
47,DJames1,R,FF,10,69,691.9,344.0,701.4,376.2,33.6,5.76,9.5,1.63,arm-side,-1.63,32.2,5.53,low,5.53,DM,DM,inside,2.300
48,DJames1,R,FF,10,73,698.3,341.9,725.2,295.2,54.0,9.26,27.0,4.63,arm-side,-4.63,46.7,8.02,high,-8.02,DM,UA,inside,2.433
49,DJames1,R,FF,10,51,697.0,341.9,611.3,391.0,98.8,16.95,85.7,14.71,glove-side,14.71,49.0,8.42,low,8.42,DM,,inside,1.700
50,DJames1,R,FF,10,134,689.8,336.8,711.1,318.5,28.0,4.81,21.2,3.65,arm-side,-3.65,18.3,3.14,high,-3.14,DM,MA,inside,4.467
51,DJames1,R,FF,10,52,692.6,340.8,715.7,340.5,23.1,3.97,23.1,3.97,arm-side,-3.97,0.2,0.04,high,-0.04,DM,DA,inside,1.733
52,DJames1,R,FF,10,102,694.4,341.1,733.2,298.1,57.9,9.95,38.8,6.67,arm-side,-6.67,43.0,7.38,high,-7.38,DM,MA,inside,3.400
53,DJames1,R,FF,10,72,694.1,342.5,737.3,301.3,59.7,10.24,43.2,7.41,arm-side,-7.41,41.2,7.08,high,-7.08,DM,MA,inside,2.400
54,DJames1,R,FF,10,89,691.4,340.3,709.3,368.7,33.6,5.77,18.0,3.08,arm-side,-3.08,28.4,4.88,low,4.88,DM,DA,inside,2.967
