pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,DJames1,R,FF,10,99,712.9,477.8,688.9,453.5,34.1,8.80,24.0,6.18,glove-side,6.18,24.3,6.26,high,-6.26,DM,MI,outside,3.300,0
2,DJames1,R,FF,10,88,711.4,465.4,598.2,549.3,140.9,19.99,113.2,29.15,glove-side,29.15,84.0,21.61,low,21.61,DM,,outside,2.933,1
3,DJames1,R,FF,10,102,708.5,473.3,719.6,455.5,21.0,5.40,11.1,2.86,arm-side,-2.86,17.9,4.58,high,-4.58,DM,MA,outside,3.400,0
4,DJames1,R,FF,10,125,702.4,468.7,690.2,427.2,43.3,11.14,12.2,3.14,glove-side,3.14,41.5,10.69,high,-10.69,DM,UI,outside,4.167,0
5,DJames1,R,FF,10,41,706.2,473.0,732.3,423.8,55.7,14.34,26.1,6.72,arm-side,-6.72,49.2,12.67,high,-12.67,DM,UA,outside,1.367,0
6,DJames1,R,FF,10,33,701.7,475.8,705.6,446.1,29.9,7.71,3.9,1.00,arm-side,-1.00,29.6,7.65,high,-7.65,DM,MM,outside,1.100,0
7,DJames1,R,FF,10,69,709.6,477.6,716.0,456.1,22.4,5.78,6.4,1.65,arm-side,-1.65,21.5,5.54,high,-5.54,DM,MM,outside,2.300,0
8,DJames1,R,CU,10,121,698.7,470.2,710.8,492.8,25.7,6.60,12.1,3.12,arm-side,-3.12,22.7,5.82,low,5.82,DM,DA,outside,4.033,0
9,DJames1,R,FF,10,71,705.5,480.2,677.4,518.3,47.3,12.19,28.1,7.24,glove-side,7.24,38.1,9.81,low,9.81,DM,,outside,2.367,0
10,DJames1,R,FF,10,86,704.0,479.9,726.8,466.8,26.3,6.77,22.8,5.87,arm-side,-5.87,13.0,3.37,high,-3.37,DM,MA,outside,2.867,0
