pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,JCarrea1,R,FF,10,139,1182.7,659.6,1153.5,635.3,38.0,6.52,29.1,5.00,glove-side,5.00,24.3,4.18,high,-4.18,DM,MI,outside,4.633,0
2,JCarrea1,R,SL,10,119,1126.1,664.0,1017.6,739.0,132.0,19.99,108.5,18.63,glove-side,18.63,75.1,12.89,low,12.89,DM,,outside,3.967,1
3,JCarrea1,R,FF,10,116,1182.7,666.8,1158.4,600.3,70.8,12.16,24.3,4.17,glove-side,4.17,66.5,11.42,high,-11.42,DM,UI,outside,3.867,0
4,JCarrea1,R,SL,10,56,1136.6,662.3,1128.4,616.2,46.9,8.05,8.2,1.40,glove-side,1.40,46.1,7.92,high,-7.92,DM,UM,outside,1.867,0
5,JCarrea1,R,FF,10,37,1209.1,676.3,1163.1,614.0,77.5,13.30,45.9,7.89,glove-side,7.89,62.4,10.71,high,-10.71,DM,UI,outside,1.233,0
6,JCarrea1,R,SL,10,49,1139.1,657.0,1156.3,662.9,18.2,3.12,17.2,2.95,arm-side,-2.95,5.9,1.02,low,1.02,DM,DA,outside,1.633,0
7,JCarrea1,R,SL,10,70,1133.4,670.3,1145.9,669.3,12.6,2.16,12.5,2.15,arm-side,-2.15,1.0,0.17,high,-0.17,DM,MM,outside,2.333,0
8,JCarrea1,R,SL,10,67,1127.6,651.5,1138.1,659.4,13.1,2.25,10.5,1.80,arm-side,-1.80,7.9,1.35,low,1.35,DM,DM,outside,2.233,0
9,JCarrea1,R,FF,10,50,1194.1,662.9,1215.0,586.9,78.8,13.53,20.9,3.59,arm-side,-3.59,76.0,13.05,high,-13.05,DM,UA,outside,1.667,0
10,JCarrea1,R,FF,10,56,1131.0,653.0,1229.9,611.2,107.3,18.43,98.9,16.97,arm-side,-16.97,41.8,7.17,high,-7.17,DM,,outside,1.867,0
11,JCarrea1,R,FF,10,44,1187.2,663.9,1125.0,690.0,67.4,11.57,62.1,10.67,glove-side,10.67,26.1,4.48,low,4.48,DM,,outside,1.467,0
12,JCarrea1,R,SL,10,50,1131.4,655.5,1140.2,761.2,106.1,18.21,8.7,1.50,arm-side,-1.50,105.7,18.15,low,18.15,DM,,outside,1.667,0
13,JCarrea1,R,SL,10,90,1134.6,654.9,1084.0,676.9,55.2,9.47,50.6,8.69,glove-side,8.69,21.9,3.77,low,3.77,DM,,outside,3.000,0
14,JCarrea1,R,FF,10,42,1182.4,663.4,1245.8,562.2,119.5,19.99,63.4,10.89,arm-side,-10.89,101.2,17.38,high,-17.38,DM,,outside,1.400,1
15,JCarrea1,R,SL,10,110,1129.2,665.1,1179.0,737.2,87.7,15.05,49.8,8.55,arm-side,-8.55,72.2,12.39,low,12.39,DM,,outside,3.667,0
16,JCarrea1,R,SL,10,72,1127.5,655.1,1158.8,700.7,55.3,9.49,31.3,5.37,arm-side,-5.37,45.5,7.82,low,7.82,DM,,outside,2.400,0
17,JCarrea1,R,FF,10,81,1189.5,661.3,1108.5,654.1,81.4,13.98,81.1,13.92,glove-side,13.92,7.2,1.24,high,-1.24,DM,,outside,2.700,0
18,JCarrea1,R,FF,10,86,1126.6,659.1,1245.3,701.1,125.8,19.99,118.6,20.37,arm-side,-20.37,42.0,7.21,low,7.21,DM,,outside,2.867,1
19,JCarrea1,R,FF,10,57,1135.2,674.4,1290.7,723.6,163.1,19.99,155.5,26.70,arm-side,-26.70,49.2,8.44,low,8.44,DM,,outside,1.900,1
20,JCarrea1,R,SL,10,57,1135.8,659.6,1076.1,751.8,109.9,18.86,59.7,10.25,glove-side,10.25,92.2,15.83,low,15.83,DM,,outside,1.900,0
21,JCarrea1,R,FF,10,50,1185.2,669.2,1275.3,529.5,166.3,19.99,90.1,15.47,arm-side,-15.47,139.7,23.99,high,-23.99,DM,,outside,1.667,1
22,JCarrea1,R,FF,10,36,1126.6,665.3,1200.6,726.7,96.1,16.50,74.0,12.70,arm-side,-12.70,61.4,10.54,low,10.54,DM,,outside,1.200,0
23,JCarrea1,R,SL,10,121,1136.9,660.4,1265.8,648.0,129.5,19.99,128.9,22.14,arm-side,-22.14,12.4,2.14,high,-2.14,DM,,outside,4.033,1
24,JCarrea1,R,FF,10,114,1113.1,653.8,1130.4,695.2,44.9,7.72,17.3,2.98,arm-side,-2.98,41.5,7.12,low,7.12,DM,DA,outside,3.800,0
25,JCarrea1,R,SL,10,102,1131.4,657.8,1313.7,567.5,203.5,19.99,182.3,31.30,arm-side,-31.30,90.4,15.51,high,-15.51,DM,,outside,3.400,1
26,JCarrea1,R,SL,10,63,1131.8,655.0,1038.1,764.4,144.1,19.99,93.7,16.09,glove-side,16.09,109.4,18.79,low,18.79,DM,,outside,2.100,1
27,JCarrea1,R,SL,10,134,1132.2,681.8,1246.3,660.4,116.1,19.93,114.1,19.59,arm-side,-19.59,21.4,3.67,high,-3.67,DM,,outside,4.467,0
28,JCarrea1,R,FF,10,70,1190.0,645.6,1289.4,579.9,119.2,19.99,99.4,17.07,arm-side,-17.07,65.7,11.29,high,-11.29,DM,,outside,2.333,1
29,JCarrea1,R,FF,10,80,1157.9,655.9,1133.9,729.9,77.8,13.36,23.9,4.11,glove-side,4.11,74.0,12.71,low,12.71,DM,,outside,2.667,0
30,JCarrea1,R,SL,10,75,1122.0,672.1,1143.4,573.5,100.9,17.33,21.4,3.68,arm-side,-3.68,98.6,16.93,high,-16.93,DM,,outside,2.500,0
31,JCarrea1,R,FF,10,43,1174.3,659.2,1254.5,628.3,86.0,14.77,80.2,13.78,arm-side,-13.78,30.9,5.31,high,-5.31,DM,,outside,1.433,0
32,JCarrea1,R,FF,10,80,1176.3,659.2,1176.7,611.1,48.1,8.25,0.4,0.07,arm-side,-0.07,48.1,8.25,high,-8.25,DM,UM,outside,2.667,0
