pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,JClark1,R,FF,10,64,692.8,377.2,705.0,323.1,55.4,9.51,12.2,2.09,arm-side,-2.09,54.0,9.28,high,-9.28,DM,UM,inside,2.133,0
2,JClark1,R,FF,10,40,680.6,361.8,685.7,353.3,9.9,1.71,5.2,0.89,arm-side,-0.89,8.5,1.46,high,-1.46,DM,MM,inside,1.333,0
3,JClark1,R,FF,10,52,683.0,375.4,701.9,321.2,57.4,9.85,18.9,3.24,arm-side,-3.24,54.2,9.30,high,-9.30,DM,UA,inside,1.733,0
4,JClark1,R,FF,10,53,696.2,380.3,700.9,318.8,61.7,10.59,4.7,0.82,arm-side,-0.82,61.5,10.56,high,-10.56,DM,UM,inside,1.767,0
5,JClark1,R,CH,10,39,688.6,390.6,781.0,344.2,103.5,17.76,92.5,15.88,arm-side,-15.88,46.4,7.96,high,-7.96,DM,,inside,1.300,0
6,JClark1,R,CH,10,51,686.3,374.6,732.7,345.5,54.7,9.40,46.4,7.96,arm-side,-7.96,29.1,4.99,high,-4.99,DM,MA,inside,1.700,0
7,JClark1,R,SL,10,55,678.6,373.4,536.0,348.6,144.7,19.99,142.6,24.48,glove-side,24.48,24.9,4.27,high,-4.27,DM,,inside,1.833,1
8,JClark1,R,FF,10,50,656.9,369.9,672.4,338.2,35.3,6.05,15.5,2.66,arm-side,-2.66,31.7,5.44,high,-5.44,DM,MA,inside,1.667,0
9,JClark1,R,FF,10,46,657.5,369.2,691.9,335.2,48.3,8.29,34.3,5.89,arm-side,-5.89,33.9,5.83,high,-5.83,DM,MA,inside,1.533,0
10,JClark1,R,SL,10,56,677.4,383.4,720.4,326.0,71.8,12.32,43.1,7.39,arm-side,-7.39,57.4,9.86,high,-9.86,DM,UA,inside,1.867,0
11,JClark1,R,FF,10,57,693.5,373.2,722.5,331.7,50.7,8.70,29.1,4.99,arm-side,-4.99,41.5,7.13,high,-7.13,DM,MA,inside,1.900,0
12,JClark1,R,FF,10,39,696.6,376.6,754.8,330.2,74.4,12.77,58.2,10.00,arm-side,-10.00,46.3,7.95,high,-7.95,DM,,inside,1.300,0
13,JClark1,R,FF,10,54,691.1,374.9,663.2,328.8,53.8,9.24,27.9,4.79,glove-side,4.79,46.1,7.91,high,-7.91,DM,UI,inside,1.800,0
14,JClark1,R,SL,10,54,683.0,381.6,760.5,374.4,77.8,13.36,77.5,13.30,arm-side,-13.30,7.1,1.23,high,-1.23,DM,,inside,1.800,0
15,JClark1,R,FF,10,41,677.6,361.0,612.8,346.1,66.5,11.41,64.8,11.13,glove-side,11.13,14.9,2.56,high,-2.56,DM,,inside,1.367,0
16,JClark1,R,FF,10,55,683.6,374.3,682.0,350.6,23.8,4.09,1.6,0.27,glove-side,0.27,23.8,4.08,high,-4.08,DM,MM,inside,1.833,0
17,JClark1,R,SL,10,41,667.4,355.2,686.7,349.2,20.2,3.46,19.3,3.31,arm-side,-3.31,6.0,1.03,high,-1.03,DM,MA,inside,1.367,0
18,JClark1,R,FF,10,47,692.0,387.9,687.5,364.8,23.6,4.05,4.5,0.77,glove-side,0.77,23.1,3.97,high,-3.97,DM,MM,inside,1.567,0
19,JClark1,R,SL,10,51,682.7,383.1,586.3,442.9,113.4,19.47,96.4,16.54,glove-side,16.54,59.8,10.27,low,10.27,DM,,inside,1.700,0
20,JClark1,R,SL,10,66,684.0,376.4,627.2,405.5,63.9,10.97,56.8,9.76,glove-side,9.76,29.1,5.00,low,5.00,DM,,inside,2.200,0
21,JClark1,R,FF,10,46,698.7,381.9,681.6,418.7,40.5,6.96,17.1,2.93,glove-side,2.93,36.8,6.31,low,6.31,DM,DI,inside,1.533,0
22,JClark1,R,FF,10,62,690.4,380.3,646.2,413.0,55.0,9.44,44.2,7.58,glove-side,7.58,32.7,5.62,low,5.62,DM,DI,inside,2.067,0
23,JClark1,R,FF,10,42,679.7,367.4,733.1,378.5,54.6,9.38,53.5,9.18,arm-side,-9.18,11.2,1.92,low,1.92,DM,,inside,1.400,0
24,JClark1,R,CH,10,61,681.0,375.2,769.0,442.7,110.9,19.05,88.1,15.12,arm-side,-15.12,67.5,11.58,low,11.58,DM,,inside,2.033,0
25,JClark1,R,CH,10,62,680.7,375.0,763.3,387.7,83.5,14.33,82.5,14.17,arm-side,-14.17,12.7,2.18,low,2.18,DM,,inside,2.067,0
26,JClark1,R,FF,10,69,677.5,378.8,707.6,381.6,30.3,5.20,30.2,5.18,arm-side,-5.18,2.8,0.48,low,0.48,DM,DA,inside,2.300,0
27,JClark1,R,FF,10,44,681.6,357.9,692.2,326.8,32.9,5.64,10.5,1.81,arm-side,-1.81,31.1,5.35,high,-5.35,DM,MM,inside,1.467,0
28,JClark1,R,FF,10,40,670.6,357.6,703.6,375.4,37.4,6.43,33.0,5.66,arm-side,-5.66,17.8,3.05,low,3.05,DM,DA,inside,1.333,0
29,JClark1,R,FF,10,70,685.2,375.7,733.5,413.5,61.3,10.53,48.3,8.29,arm-side,-8.29,37.9,6.50,low,6.50,DM,DA,inside,2.333,0
30,JClark1,R,CH,10,50,682.5,378.0,773.8,381.2,91.4,15.70,91.4,15.69,arm-side,-15.69,3.2,0.55,low,0.55,DM,,inside,1.667,0
31,JClark1,R,FF,10,65,680.2,382.1,708.5,395.3,31.2,5.35,28.3,4.85,arm-side,-4.85,13.2,2.27,low,2.27,DM,DA,inside,2.167,0
32,JClark1,R,FF,10,57,678.9,376.9,689.4,335.7,42.5,7.30,10.5,1.80,arm-side,-1.80,41.2,7.08,high,-7.08,DM,MM,inside,1.900,0
33,JClark1,R,CH,10,65,684.0,379.7,730.8,408.5,55.0,9.45,46.9,8.05,arm-side,-8.05,28.8,4.95,low,4.95,DM,DA,inside,2.167,0
34,JClark1,R,FF,10,41,680.3,355.3,645.0,345.4,36.6,6.29,35.3,6.05,glove-side,6.05,9.9,1.70,high,-1.70,DM,MI,inside,1.367,0
35,JClark1,R,SL,10,71,676.1,394.6,681.1,326.6,68.1,11.69,4.9,0.85,arm-side,-0.85,67.9,11.66,high,-11.66,DM,UM,inside,2.367,0
36,JClark1,R,SL,10,48,671.0,378.3,630.8,391.0,42.2,7.24,40.2,6.90,glove-side,6.90,12.7,2.18,low,2.18,DM,DI,inside,1.600,0
37,JClark1,R,FF,10,42,682.1,358.7,593.1,390.1,94.4,16.20,89.0,15.28,glove-side,15.28,31.4,5.40,low,5.40,DM,,inside,1.400,0
38,JClark1,R,FF,10,38,679.6,366.8,545.7,363.6,134.0,19.99,134.0,23.00,glove-side,23.00,3.2,0.55,high,-0.55,DM,,inside,1.267,1
39,JClark1,R,FF,10,46,671.3,359.0,632.9,333.5,46.0,7.91,38.3,6.58,glove-side,6.58,25.5,4.38,high,-4.38,DM,MI,inside,1.533,0
40,JClark1,R,FF,10,46,676.7,367.2,652.3,321.8,51.5,8.84,24.4,4.19,glove-side,4.19,45.3,7.78,high,-7.78,DM,UI,inside,1.533,0
41,JClark1,R,FF,10,48,682.9,368.3,547.5,348.8,136.9,19.99,135.5,23.26,glove-side,23.26,19.5,3.35,high,-3.35,DM,,inside,1.600,1
42,JClark1,R,FF,10,58,683.3,373.3,729.7,406.6,57.2,9.81,46.5,7.97,arm-side,-7.97,33.3,5.72,low,5.72,DM,DA,inside,1.933,0
43,JClark1,R,FF,10,72,681.6,374.6,705.8,405.5,39.3,6.74,24.2,4.16,arm-side,-4.16,30.9,5.31,low,5.31,DM,DA,inside,2.400,0
44,JClark1,R,FF,10,37,699.0,376.2,673.0,336.1,47.8,8.21,26.0,4.47,glove-side,4.47,40.1,6.89,high,-6.89,DM,MI,inside,1.233,0
45,JClark1,R,FF,10,57,686.4,378.7,667.1,397.7,27.1,4.65,19.3,3.32,glove-side,3.32,19.0,3.25,low,3.25,DM,DI,inside,1.900,0
46,JClark1,R,SL,10,53,677.2,377.7,601.9,381.6,75.4,12.94,75.3,12.92,glove-side,12.92,3.9,0.67,low,0.67,DM,,inside,1.767,0
47,JClark1,R,FF,10,51,682.3,371.7,641.0,366.6,41.5,7.13,41.2,7.08,glove-side,7.08,5.1,0.87,high,-0.87,DM,MI,inside,1.700,0
48,JClark1,R,FF,10,68,688.0,376.3,539.9,371.7,148.2,19.99,148.1,25.43,glove-side,25.43,4.6,0.78,high,-0.78,DM,,inside,2.267,1
49,JClark1,R,SL,10,58,681.5,380.2,663.1,397.6,25.3,4.35,18.5,3.17,glove-side,3.17,17.3,2.97,low,2.97,DM,DI,inside,1.933,0
50,JClark1,R,FF,10,51,682.1,373.9,718.4,282.5,98.3,16.88,36.3,6.24,arm-side,-6.24,91.4,15.69,high,-15.69,DM,,inside,1.700,0
51,JClark1,R,FF,10,42,677.6,360.6,681.1,371.1,11.0,1.90,3.4,0.59,arm-side,-0.59,10.5,1.80,low,1.80,DM,DM,inside,1.400,0
52,JClark1,R,FF,10,39,677.2,370.6,625.0,339.2,60.9,10.46,52.2,8.96,glove-side,8.96,31.4,5.39,high,-5.39,DM,,inside,1.300,0
53,JClark1,R,FF,10,37,700.5,380.2,617.3,446.2,106.2,18.23,83.2,14.28,glove-side,14.28,66.0,11.33,low,11.33,DM,,inside,1.233,0
54,JClark1,R,FF,10,74,687.2,377.4,710.0,349.1,36.3,6.24,22.8,3.92,arm-side,-3.92,28.3,4.85,high,-4.85,DM,MA,inside,2.467,0
55,JClark1,R,FF,10,36,687.2,377.6,673.6,344.2,36.1,6.20,13.6,2.33,glove-side,2.33,33.5,5.74,high,-5.74,DM,MM,inside,1.200,0
