pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,JClark1,R,FF,10,68,713.0,488.6,657.1,567.5,96.7,24.90,55.9,14.41,glove-side,14.41,78.9,20.31,low,20.31,DM,,outside,2.267
2,JClark1,R,FF,10,50,706.6,490.2,762.3,503.0,57.1,14.72,55.7,14.34,arm-side,-14.34,12.8,3.29,low,3.29,DM,,outside,1.667
3,JClark1,R,FF,10,85,712.7,489.4,721.5,383.5,106.3,27.36,8.8,2.26,arm-side,-2.26,105.9,27.27,high,-27.27,DM,,outside,2.833
4,JClark1,R,FF,10,88,710.3,482.9,538.1,467.2,172.9,44.51,172.1,44.33,glove-side,44.33,15.7,4.04,high,-4.04,DM,,outside,2.933
5,JClark1,R,FF,10,71,706.7,476.1,673.9,418.8,66.1,17.02,32.8,8.44,glove-side,8.44,57.4,14.78,high,-14.78,DM,UI,outside,2.367
6,JClark1,R,FF,10,65,707.4,471.4,743.7,480.1,37.3,9.61,36.3,9.35,arm-side,-9.35,8.7,2.24,low,2.24,DM,,outside,2.167
7,JClark1,R,SL,10,65,680.5,480.9,633.4,484.4,47.3,12.18,47.2,12.14,glove-side,12.14,3.4,0.89,low,0.89,DM,,outside,2.167
8,JClark1,R,SL,10,73,667.4,477.8,568.0,518.1,107.3,27.62,99.4,25.59,glove-side,25.59,40.3,10.39,low,10.39,DM,,outside,2.433
9,JClark1,R,FF,10,82,705.9,475.1,728.0,546.8,75.1,19.34,22.1,5.69,arm-side,-5.69,71.8,18.48,low,18.48,DM,,outside,2.733
10,JClark1,R,FF,10,46,704.1,472.9,658.4,517.1,63.6,16.37,45.7,11.76,glove-side,11.76,44.2,11.39,low,11.39,DM,,outside,1.533
11,JClark1,R,SL,10,39,667.6,476.6,547.1,466.4,121.0,31.15,120.5,31.04,glove-side,31.04,10.2,2.64,high,-2.64,DM,,outside,1.300
12,JClark1,R,FF,10,68,665.1,489.2,625.6,562.7,83.5,21.49,39.5,10.17,glove-side,10.17,73.5,18.94,low,18.94,DM,,outside,2.267
13,JClark1,R,FF,10,56,710.0,476.4,711.5,518.2,41.8,10.76,1.4,0.37,arm-side,-0.37,41.8,10.76,low,10.76,DM,,outside,1.867
14,JClark1,R,SL,10,54,676.3,477.6,678.2,489.1,11.7,3.00,1.9,0.49,arm-side,-0.49,11.5,2.96,low,2.96,DM,DM,outside,1.800
15,JClark1,R,FF,10,48,672.3,469.8,688.4,426.4,46.3,11.92,16.1,4.14,arm-side,-4.14,43.4,11.18,high,-11.18,DM,UA,outside,1.600
16,JClark1,R,FF,10,73,720.0,476.2,712.5,445.1,32.0,8.23,7.5,1.92,glove-side,1.92,31.1,8.00,high,-8.00,DM,UM,outside,2.433
17,JClark1,R,FF,10,82,717.4,481.1,770.8,531.7,73.6,18.95,53.4,13.76,arm-side,-13.76,50.6,13.03,low,13.03,DM,,outside,2.733
