pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,JFinkelstein1,R,FF,10,69,693.1,367.9,626.7,434.8,94.2,16.17,66.3,11.39,glove-side,11.39,66.8,11.47,low,11.47,DM,,inside,2.300
2,JFinkelstein1,R,FF,10,46,702.4,356.7,637.4,317.5,75.9,13.04,65.0,11.16,glove-side,11.16,39.3,6.74,high,-6.74,DM,,inside,1.533
3,JFinkelstein1,R,FF,10,71,696.2,360.2,641.3,354.5,55.3,9.49,55.0,9.44,glove-side,9.44,5.7,0.98,high,-0.98,DM,,inside,2.367
4,JFinkelstein1,R,FF,10,113,692.4,362.7,578.0,328.9,119.2,19.99,114.4,19.63,glove-side,19.63,33.8,5.80,high,-5.80,DM,,inside,3.767
5,JFinkelstein1,R,FF,10,94,692.0,358.9,686.1,333.1,26.5,4.55,5.9,1.02,glove-side,1.02,25.8,4.43,high,-4.43,DM,MM,inside,3.133
6,JFinkelstein1,R,SL,10,43,678.5,358.7,672.9,381.3,23.4,4.01,5.6,0.97,glove-side,0.97,22.7,3.89,low,3.89,DM,DM,inside,1.433
7,JFinkelstein1,R,FF,10,88,709.4,364.0,727.0,404.8,44.4,7.63,17.6,3.02,arm-side,-3.02,40.8,7.00,low,7.00,DM,DA,inside,2.933
8,JFinkelstein1,R,SL,10,49,693.8,355.2,678.7,422.1,68.6,11.77,15.0,2.58,glove-side,2.58,66.9,11.48,low,11.48,DM,,inside,1.633
9,JFinkelstein1,R,FF,10,98,741.0,382.4,710.3,250.9,135.0,19.99,30.7,5.27,glove-side,5.27,131.5,22.58,high,-22.58,DM,,inside,3.267
10,JFinkelstein1,R,SL,10,70,692.6,362.6,699.0,372.2,11.6,2.00,6.5,1.11,arm-side,-1.11,9.7,1.66,low,1.66,DM,DM,inside,2.333
11,JFinkelstein1,R,FF,10,62,690.2,353.5,683.9,325.7,28.5,4.89,6.3,1.08,glove-side,1.08,27.8,4.77,high,-4.77,DM,MM,inside,2.067
12,JFinkelstein1,R,FF,10,63,692.8,365.1,671.9,335.4,36.3,6.23,20.9,3.58,glove-side,3.58,29.7,5.10,high,-5.10,DM,MI,inside,2.100
13,JFinkelstein1,R,SL,10,51,668.8,367.7,645.6,357.2,25.5,4.38,23.2,3.98,glove-side,3.98,10.6,1.81,high,-1.81,DM,MI,inside,1.700
14,JFinkelstein1,R,SL,10,32,669.1,377.9,728.0,329.3,76.4,13.12,58.9,10.12,arm-side,-10.12,48.6,8.35,high,-8.35,DM,,inside,1.067
15,JFinkelstein1,R,FF,10,81,712.8,390.5,580.8,367.3,134.0,19.99,132.0,22.66,glove-side,22.66,23.2,3.98,high,-3.98,DM,,inside,2.700
16,JFinkelstein1,R,SL,10,56,677.7,362.7,745.2,356.5,67.8,11.64,67.5,11.59,arm-side,-11.59,6.2,1.06,high,-1.06,DM,,inside,1.867
17,JFinkelstein1,R,FF,10,95,692.7,359.4,736.6,268.6,100.8,17.31,43.9,7.54,arm-side,-7.54,90.8,15.59,high,-15.59,DM,,inside,3.167
18,JFinkelstein1,R,FF,10,48,702.6,354.0,698.9,378.8,25.1,4.31,3.6,0.62,glove-side,0.62,24.8,4.26,low,4.26,DM,DM,inside,1.600
19,JFinkelstein1,R,FF,10,39,698.5,351.4,739.9,275.4,86.5,14.85,41.4,7.10,arm-side,-7.10,75.9,13.04,high,-13.04,DM,UA,inside,1.300
20,JFinkelstein1,R,FF,10,87,698.6,354.6,729.4,430.0,81.4,13.98,30.7,5.28,arm-side,-5.28,75.4,12.94,low,12.94,DM,,inside,2.900
21,JFinkelstein1,R,SL,10,38,687.4,357.8,716.6,429.4,77.3,13.27,29.1,5.00,arm-side,-5.00,71.6,12.29,low,12.29,DM,,inside,1.267
22,JFinkelstein1,R,FF,10,64,697.6,358.8,727.2,413.1,61.8,10.62,29.6,5.08,arm-side,-5.08,54.3,9.32,low,9.32,DM,,inside,2.133
23,JFinkelstein1,R,FF,10,69,686.3,354.5,703.5,313.0,44.9,7.71,17.2,2.95,arm-side,-2.95,41.5,7.12,high,-7.12,DM,MA,inside,2.300
24,JFinkelstein1,R,FF,10,74,689.7,356.8,681.3,332.8,25.4,4.36,8.4,1.45,glove-side,1.45,24.0,4.12,high,-4.12,DM,MM,inside,2.467
25,JFinkelstein1,R,SL,10,91,681.8,350.9,597.0,375.1,88.2,15.14,84.8,14.56,glove-side,14.56,24.2,4.15,low,4.15,DM,,inside,3.033
26,JFinkelstein1,R,FF,10,63,697.6,354.4,705.5,359.4,9.4,1.61,7.9,1.36,arm-side,-1.36,5.0,0.86,low,0.86,DM,DM,inside,2.100
27,JFinkelstein1,R,FF,10,36,699.9,370.6,731.9,389.1,37.0,6.34,32.0,5.49,arm-side,-5.49,18.5,3.18,low,3.18,DM,DA,inside,1.200
28,JFinkelstein1,R,FF,10,57,690.8,356.7,718.2,382.7,37.7,6.48,27.4,4.70,arm-side,-4.70,26.0,4.46,low,4.46,DM,DA,inside,1.900
29,JFinkelstein1,R,SL,10,69,675.3,352.9,653.7,386.1,39.6,6.80,21.6,3.70,glove-side,3.70,33.2,5.70,low,5.70,DM,DI,inside,2.300
30,JFinkelstein1,R,FF,10,69,698.0,353.2,738.0,440.0,95.6,16.41,39.9,6.86,arm-side,-6.86,86.9,14.91,low,14.91,DM,,inside,2.300
31,JFinkelstein1,R,FF,10,59,701.5,352.7,643.7,356.9,57.9,9.94,57.7,9.91,glove-side,9.91,4.2,0.72,low,0.72,DM,,inside,1.967
32,JFinkelstein1,R,SL,10,43,699.8,369.9,713.8,431.3,63.0,10.81,14.1,2.42,arm-side,-2.42,61.4,10.54,low,10.54,DM,,inside,1.433
33,JFinkelstein1,R,FF,10,44,699.6,353.3,738.5,359.3,39.3,6.74,38.8,6.66,arm-side,-6.66,6.0,1.03,low,1.03,DM,DA,inside,1.467
34,JFinkelstein1,R,FF,10,77,699.3,347.0,743.2,396.1,65.9,11.32,43.9,7.53,arm-side,-7.53,49.2,8.44,low,8.44,DM,,inside,2.567
35,JFinkelstein1,R,FF,10,91,702.8,347.0,745.1,436.6,99.1,17.01,42.3,7.26,arm-side,-7.26,89.6,15.38,low,15.38,DM,,inside,3.033
36,JFinkelstein1,R,FF,10,57,705.4,384.9,686.7,406.2,28.4,4.88,18.7,3.22,glove-side,3.22,21.3,3.66,low,3.66,DM,DI,inside,1.900
37,JFinkelstein1,R,SL,10,54,696.5,374.4,579.3,386.8,117.8,19.99,117.2,20.12,glove-side,20.12,12.4,2.12,low,2.12,DM,,inside,1.800
38,JFinkelstein1,R,FF,10,86,694.0,362.2,681.5,393.5,33.7,5.79,12.5,2.15,glove-side,2.15,31.3,5.37,low,5.37,DM,DM,inside,2.867
39,JFinkelstein1,R,SL,10,83,677.0,354.0,689.1,442.9,89.7,15.39,12.2,2.09,arm-side,-2.09,88.8,15.25,low,15.25,DM,,inside,2.767
40,JFinkelstein1,R,FF,10,66,689.2,360.0,695.9,391.2,31.9,5.48,6.7,1.15,arm-side,-1.15,31.2,5.35,low,5.35,DM,DM,inside,2.200
41,JFinkelstein1,R,FF,10,90,700.5,385.0,689.9,375.2,14.5,2.48,10.6,1.82,glove-side,1.82,9.8,1.69,high,-1.69,DM,MM,inside,3.000
42,JFinkelstein1,R,FF,10,46,691.3,366.4,726.4,418.5,62.8,10.78,35.1,6.03,arm-side,-6.03,52.1,8.94,low,8.94,DM,,inside,1.533
43,JFinkelstein1,R,SL,10,59,664.9,356.7,699.2,409.8,63.2,10.84,34.3,5.89,arm-side,-5.89,53.1,9.11,low,9.11,DM,,inside,1.967
44,JFinkelstein1,R,FF,10,44,620.0,350.0,660.0,405.7,68.6,11.78,40.0,6.87,arm-side,-6.87,55.8,9.57,low,9.57,DM,,inside,1.467
45,JFinkelstein1,R,FF,10,51,688.5,363.4,706.7,334.4,34.2,5.88,18.2,3.13,arm-side,-3.13,29.0,4.97,high,-4.97,DM,MA,inside,1.700
46,JFinkelstein1,R,FF,10,44,691.2,363.1,715.8,396.6,41.6,7.14,24.6,4.23,arm-side,-4.23,33.5,5.75,low,5.75,DM,DA,inside,1.467
47,JFinkelstein1,R,FF,10,64,693.9,362.4,686.2,398.7,37.1,6.37,7.6,1.31,glove-side,1.31,36.3,6.23,low,6.23,DM,DM,inside,2.133
48,JFinkelstein1,R,FF,10,66,692.9,363.6,701.1,396.8,34.2,5.87,8.2,1.41,arm-side,-1.41,33.2,5.70,low,5.70,DM,DM,inside,2.200
