pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,JFinkelstein1,R,FF,10,92,710.6,487.0,724.4,456.0,34.0,8.75,13.8,3.55,arm-side,-3.55,31.1,8.00,high,-8.00,DM,UA,outside,3.067,0
2,JFinkelstein1,R,FF,10,119,709.5,496.9,732.7,519.2,32.1,8.27,23.1,5.95,arm-side,-5.95,22.3,5.74,low,5.74,DM,DA,outside,3.967,0
3,JFinkelstein1,R,FF,10,100,713.7,482.9,792.1,470.2,79.4,20.45,78.4,20.19,arm-side,-20.19,12.7,3.28,high,-3.28,DM,,outside,3.333,0
4,JFinkelstein1,R,FF,10,44,711.3,485.1,755.3,452.7,54.6,14.07,44.0,11.33,arm-side,-11.33,32.4,8.34,high,-8.34,DM,,outside,1.467,0
5,JFinkelstein1,R,FF,10,59,714.6,485.1,721.2,419.8,65.6,16.90,6.6,1.70,arm-side,-1.70,65.3,16.82,high,-16.82,DM,,outside,1.967,0
6,JFinkelstein1,R,FF,10,72,711.9,483.7,715.6,445.1,38.8,9.98,3.7,0.95,arm-side,-0.95,38.6,9.94,high,-9.94,DM,UM,outside,2.400,0
7,JFinkelstein1,R,FF,10,44,714.7,481.2,730.9,455.4,30.5,7.85,16.2,4.18,arm-side,-4.18,25.8,6.64,high,-6.64,DM,MA,outside,1.467,0
8,JFinkelstein1,R,SL,10,71,705.2,471.4,613.7,550.3,120.8,24.99,91.5,23.56,glove-side,23.56,78.9,20.32,low,20.32,DM,,outside,2.367,1
9,JFinkelstein1,R,SL,10,102,712.4,475.9,706.1,527.0,51.5,13.27,6.3,1.61,glove-side,1.61,51.1,13.17,low,13.17,DM,,outside,3.400,0
10,JFinkelstein1,R,FF,10,85,711.7,466.0,641.8,564.7,121.0,24.99,69.9,18.01,glove-side,18.01,98.7,25.43,low,25.43,DM,,outside,2.833,1
