pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,MCamardi1,L,SI,10,42,1100.8,709.0,973.3,626.5,151.9,19.99,127.5,21.89,arm-side,-21.89,82.5,14.16,high,-14.16,DM,,inside,1.400
2,MCamardi1,L,SI,10,73,1099.6,718.8,1049.9,683.8,60.8,10.44,49.8,8.54,arm-side,-8.54,35.0,6.01,high,-6.01,DM,,inside,2.433
3,MCamardi1,L,SI,10,53,1153.0,735.6,1161.4,704.6,32.1,5.52,8.3,1.43,glove-side,1.43,31.0,5.33,high,-5.33,DM,MM,inside,1.767
4,MCamardi1,L,SI,10,71,1075.0,721.8,1084.0,767.0,46.0,7.90,9.0,1.54,glove-side,1.54,45.2,7.75,low,7.75,DM,,inside,2.367
5,MCamardi1,L,SI,10,62,1074.0,721.4,1099.5,710.9,27.6,4.74,25.5,4.39,glove-side,4.39,10.5,1.81,high,-1.81,DM,MI,inside,2.067
6,MCamardi1,L,SL,10,56,1124.6,720.1,1118.8,712.8,9.3,1.60,5.8,0.99,arm-side,-0.99,7.3,1.25,high,-1.25,DM,MM,inside,1.867
7,MCamardi1,L,SI,10,58,1007.0,696.2,1074.1,664.1,74.4,12.77,67.1,11.53,glove-side,11.53,32.0,5.50,high,-5.50,DM,,inside,1.933
8,MCamardi1,L,SI,10,64,1092.2,692.2,1117.9,678.5,29.1,5.00,25.7,4.41,glove-side,4.41,13.7,2.34,high,-2.34,DM,MI,inside,2.133
9,MCamardi1,L,SL,10,73,1113.6,694.7,1064.8,674.8,52.7,9.04,48.8,8.37,arm-side,-8.37,19.9,3.41,high,-3.41,DM,MA,inside,2.433
10,MCamardi1,L,SL,10,65,1128.3,726.3,1084.1,720.1,44.6,7.66,44.2,7.58,arm-side,-7.58,6.2,1.06,high,-1.06,DM,MA,inside,2.167
11,MCamardi1,L,SI,10,85,1073.6,709.2,1161.3,699.5,88.2,15.15,87.7,15.05,glove-side,15.05,9.7,1.67,high,-1.67,DM,,inside,2.833
12,MCamardi1,L,SI,10,97,1065.2,712.2,1010.3,725.0,56.3,9.67,54.9,9.42,arm-side,-9.42,12.8,2.19,low,2.19,DM,,inside,3.233
13,MCamardi1,L,SI,10,45,1002.1,684.0,1045.7,668.9,46.2,7.92,43.6,7.49,glove-side,7.49,15.1,2.59,high,-2.59,DM,MI,inside,1.500
14,MCamardi1,L,SI,10,67,1057.5,714.9,1095.8,749.7,51.7,8.88,38.3,6.58,glove-side,6.58,34.8,5.97,low,5.97,DM,DI,inside,2.233
15,MCamardi1,L,SL,10,50,1116.3,690.1,1099.9,733.3,46.2,7.93,16.4,2.82,arm-side,-2.82,43.2,7.42,low,7.42,DM,DM,inside,1.667
16,MCamardi1,L,SI,10,39,1072.0,690.3,1062.6,682.0,12.5,2.15,9.4,1.61,arm-side,-1.61,8.3,1.42,high,-1.42,DM,MM,inside,1.300
17,MCamardi1,L,SL,10,43,1117.9,693.7,1051.6,717.2,70.4,12.09,66.3,11.39,arm-side,-11.39,23.5,4.04,low,4.04,DM,,inside,1.433
18,MCamardi1,L,SI,10,41,1071.5,694.4,1121.0,670.1,55.1,9.47,49.5,8.49,glove-side,8.49,24.3,4.18,high,-4.18,DM,,inside,1.367
19,MCamardi1,L,SI,10,47,1043.9,686.9,1145.8,756.2,123.3,19.99,102.0,17.51,glove-side,17.51,69.3,11.90,low,11.90,DM,,inside,1.567
20,MCamardi1,L,SI,10,59,1003.8,703.5,1044.6,683.5,45.3,7.79,40.7,6.99,glove-side,6.99,20.0,3.43,high,-3.43,DM,MI,inside,1.967
