pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,MCamardi1,L,SI,10,51,706.9,474.8,610.6,480.1,96.4,24.84,96.3,24.80,arm-side,-24.80,5.4,1.36,low,1.36,DM,,inside,1.700,0
2,MCamardi1,L,SI,10,123,710.1,469.1,596.7,491.2,115.5,29.75,113.4,29.20,arm-side,-29.20,22.0,5.69,low,5.69,DM,,inside,4.100,0
3,MCamardi1,L,SI,10,54,712.5,467.0,617.0,509.8,104.7,26.95,95.5,24.59,arm-side,-24.59,42.9,11.02,low,11.02,DM,,inside,1.800,0
4,MCamardi1,L,SI,10,56,708.5,470.6,652.3,521.2,75.7,19.47,56.3,14.47,arm-side,-14.47,50.7,13.03,low,13.03,DM,,inside,1.867,0
5,MCamardi1,L,SI,10,62,710.1,472.6,645.2,481.5,65.5,16.87,64.9,16.71,arm-side,-16.71,8.9,2.29,low,2.29,DM,,inside,2.067,0
6,MCamardi1,L,SI,10,51,706.6,475.0,730.4,478.1,24.0,6.18,23.8,6.13,glove-side,6.13,3.2,0.80,low,0.80,DM,DI,inside,1.700,0
7,MCamardi1,L,SI,10,43,711.2,471.3,654.9,488.2,58.7,15.14,56.3,14.50,arm-side,-14.50,16.8,4.35,low,4.35,DM,,inside,1.433,0
8,MCamardi1,L,SI,10,39,701.2,472.9,737.3,490.3,40.0,10.32,36.1,9.30,glove-side,9.30,17.4,4.48,low,4.48,DM,,inside,1.300,0
9,MCamardi1,L,SI,10,65,698.9,480.2,727.7,499.4,34.6,8.91,28.8,7.42,glove-side,7.42,19.2,4.94,low,4.94,DM,DI,inside,2.167,0
10,MCamardi1,L,SI,10,77,697.4,478.8,759.9,473.0,62.7,16.16,62.5,16.10,glove-side,16.10,5.8,1.49,high,-1.49,DM,,inside,2.567,0
11,MCamardi1,L,SI,10,79,702.8,474.3,763.0,554.7,100.4,25.87,60.2,15.50,glove-side,15.50,80.4,20.70,low,20.70,DM,,inside,2.633,0
12,MCamardi1,L,SI,10,48,703.3,474.8,678.4,486.3,27.4,7.06,24.8,6.41,arm-side,-6.41,11.5,2.96,low,2.96,DM,DA,inside,1.600,0
13,MCamardi1,L,SI,10,82,699.9,477.5,720.8,517.5,45.2,11.62,20.9,5.38,glove-side,5.38,40.0,10.30,low,10.30,DM,,inside,2.733,0
14,MCamardi1,L,SI,10,64,702.1,484.2,684.7,511.8,32.6,8.40,17.4,4.48,arm-side,-4.48,27.6,7.11,low,7.11,DM,DA,inside,2.133,0
15,MCamardi1,L,SL,10,90,699.9,476.3,605.1,505.2,99.1,25.52,94.8,24.41,arm-side,-24.41,28.9,7.44,low,7.44,DM,,inside,3.000,0
16,MCamardi1,L,SI,10,60,701.0,478.4,778.8,436.7,88.3,22.73,77.8,20.04,glove-side,20.04,41.7,10.74,high,-10.74,DM,,inside,2.000,0
17,MCamardi1,L,SI,10,81,702.7,477.4,705.0,477.0,2.3,0.60,2.3,0.59,glove-side,0.59,0.4,0.10,high,-0.10,DM,DM,inside,2.700,0
