pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,Slangan1,R,FF,10,69,1192.7,642.4,1071.0,645.7,121.7,19.99,121.7,20.89,glove-side,20.89,3.3,0.56,low,0.56,DM,,outside,2.300
2,Slangan1,R,FF,10,84,1140.7,636.9,1268.9,529.8,167.0,19.99,128.1,22.00,arm-side,-22.00,107.1,18.39,high,-18.39,DM,,outside,2.800
3,Slangan1,R,FF,10,85,1177.3,633.2,1322.2,565.5,159.9,19.99,144.9,24.87,arm-side,-24.87,67.8,11.64,high,-11.64,DM,,outside,2.833
4,Slangan1,R,FF,10,94,1141.0,633.0,1126.7,569.6,65.0,11.16,14.2,2.45,glove-side,2.45,63.4,10.89,high,-10.89,DM,UM,outside,3.133
5,Slangan1,R,FF,10,101,1130.2,584.7,1201.9,471.8,133.8,19.99,71.8,12.32,arm-side,-12.32,112.9,19.38,high,-19.38,DM,,outside,3.367
6,Slangan1,R,FF,10,50,1153.8,647.0,1100.6,574.5,90.0,15.45,53.3,9.15,glove-side,9.15,72.6,12.46,high,-12.46,DM,,outside,1.667
7,Slangan1,R,SL,10,92,1154.0,644.4,1132.5,592.2,56.4,9.69,21.5,3.69,glove-side,3.69,52.2,8.96,high,-8.96,DM,UI,outside,3.067
8,Slangan1,R,FF,10,105,1144.0,588.9,1141.1,597.6,9.2,1.57,2.9,0.50,glove-side,0.50,8.7,1.49,low,1.49,DM,DM,outside,3.500
9,Slangan1,R,SL,10,53,1157.9,667.7,1268.4,514.7,188.7,19.99,110.5,18.97,arm-side,-18.97,153.0,26.27,high,-26.27,DM,,outside,1.767
10,Slangan1,R,FF,10,69,1143.8,620.8,1230.8,558.5,107.0,18.37,87.0,14.93,arm-side,-14.93,62.3,10.70,high,-10.70,DM,,outside,2.300
11,Slangan1,R,FF,10,84,1127.3,615.8,1216.3,539.6,117.3,19.99,89.1,15.29,arm-side,-15.29,76.3,13.09,high,-13.09,DM,,outside,2.800
12,Slangan1,R,FF,10,105,1185.6,613.6,1109.6,608.2,76.2,13.09,76.0,13.05,glove-side,13.05,5.4,0.93,high,-0.93,DM,,outside,3.500
13,Slangan1,R,FF,10,51,1147.4,594.0,1218.4,521.6,101.4,17.40,71.0,12.19,arm-side,-12.19,72.4,12.43,high,-12.43,DM,,outside,1.700
14,Slangan1,R,FF,10,60,1137.9,638.9,1112.5,532.5,109.4,18.79,25.4,4.37,glove-side,4.37,106.4,18.27,high,-18.27,DM,,outside,2.000
15,Slangan1,R,FF,10,65,1152.3,634.7,1195.7,613.2,48.4,8.31,43.3,7.44,arm-side,-7.44,21.5,3.69,high,-3.69,DM,MA,outside,2.167
16,Slangan1,R,FF,10,60,1138.5,620.8,1169.5,691.3,77.0,13.23,31.0,5.32,arm-side,-5.32,70.5,12.11,low,12.11,DM,,outside,2.000
17,Slangan1,R,FF,10,86,1134.6,635.0,1122.2,627.0,14.8,2.54,12.4,2.14,glove-side,2.14,8.0,1.38,high,-1.38,DM,MM,outside,2.867
18,Slangan1,R,SL,10,98,1150.0,596.9,1159.0,692.2,95.7,16.42,9.0,1.55,arm-side,-1.55,95.2,16.35,low,16.35,DM,,outside,3.267
19,Slangan1,R,FF,10,65,1075.5,622.0,1020.9,614.8,55.0,9.44,54.5,9.36,glove-side,9.36,7.3,1.25,high,-1.25,DM,,outside,2.167
20,Slangan1,R,FF,10,80,1122.2,629.9,1144.0,558.5,74.6,12.81,21.7,3.73,arm-side,-3.73,71.4,12.26,high,-12.26,DM,UA,outside,2.667
21,Slangan1,R,FF,10,74,1148.3,639.2,1106.6,743.9,112.7,19.34,41.8,7.17,glove-side,7.17,104.7,17.97,low,17.97,DM,,outside,2.467
22,Slangan1,R,FF,10,94,1158.7,676.3,1211.4,592.0,99.4,17.07,52.8,9.06,arm-side,-9.06,84.2,14.46,high,-14.46,DM,,outside,3.133
23,Slangan1,R,FF,10,76,1154.1,615.8,1226.2,575.6,82.6,14.18,72.1,12.38,arm-side,-12.38,40.2,6.90,high,-6.90,DM,,outside,2.533
24,Slangan1,R,FF,10,46,1173.3,668.9,1234.8,693.1,66.1,11.35,61.5,10.56,arm-side,-10.56,24.1,4.14,low,4.14,DM,,outside,1.533
25,Slangan1,R,FF,10,49,1174.0,591.8,1231.7,679.7,105.2,18.05,57.7,9.91,arm-side,-9.91,87.9,15.09,low,15.09,DM,,outside,1.633
26,Slangan1,R,FF,10,45,1185.6,672.6,1197.3,681.7,14.9,2.56,11.7,2.02,arm-side,-2.02,9.1,1.57,low,1.57,DM,DM,outside,1.500
27,Slangan1,R,SL,10,66,1151.3,620.6,1241.5,675.8,105.8,18.16,90.2,15.49,arm-side,-15.49,55.3,9.49,low,9.49,DM,,outside,2.200
28,Slangan1,R,FF,10,74,1199.5,684.9,1147.4,559.7,135.6,19.99,52.1,8.94,glove-side,8.94,125.2,21.49,high,-21.49,DM,,outside,2.467
29,Slangan1,R,FF,10,39,1208.1,642.6,1113.5,588.2,109.1,18.73,94.6,16.24,glove-side,16.24,54.3,9.33,high,-9.33,DM,,outside,1.300
30,Slangan1,R,FF,10,85,1192.9,692.4,1193.5,621.5,71.0,12.18,0.6,0.11,arm-side,-0.11,71.0,12.18,high,-12.18,DM,UM,outside,2.833
31,Slangan1,R,FF,10,51,1065.1,616.0,1093.7,545.4,76.2,13.08,28.6,4.92,arm-side,-4.92,70.6,12.12,high,-12.12,DM,UA,outside,1.700
32,Slangan1,R,FF,10,51,1224.4,652.6,1124.1,590.7,117.9,19.99,100.3,17.23,glove-side,17.23,61.9,10.63,high,-10.63,DM,,outside,1.700
33,Slangan1,R,FF,10,59,1201.9,681.7,1293.8,550.7,160.0,19.99,91.9,15.78,arm-side,-15.78,131.0,22.48,high,-22.48,DM,,outside,1.967
34,Slangan1,R,SL,10,69,1151.7,638.5,1190.8,659.0,44.1,7.58,39.1,6.71,arm-side,-6.71,20.5,3.52,low,3.52,DM,DA,outside,2.300
35,Slangan1,R,FF,10,59,1179.0,644.6,1294.3,544.2,152.9,19.99,115.4,19.81,arm-side,-19.81,100.4,17.24,high,-17.24,DM,,outside,1.967
36,Slangan1,R,FF,10,72,1180.3,676.1,1228.2,593.1,95.8,16.44,47.8,8.21,arm-side,-8.21,83.0,14.25,high,-14.25,DM,UA,outside,2.400
37,Slangan1,R,SL,10,55,1161.5,635.3,1138.8,640.4,23.2,3.99,22.6,3.89,glove-side,3.89,5.2,0.89,low,0.89,DM,DI,outside,1.833
38,Slangan1,R,FF,10,73,1124.0,629.3,1244.7,537.1,151.8,19.99,120.7,20.72,arm-side,-20.72,92.2,15.82,high,-15.82,DM,,outside,2.433
39,Slangan1,R,FF,10,77,1170.5,593.1,1210.4,596.8,40.1,6.88,39.9,6.85,arm-side,-6.85,3.7,0.64,low,0.64,DM,DA,outside,2.567
