pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,tobrien1,R,FF,10,61,645.9,544.7,679.0,551.6,33.8,5.80,33.1,5.68,arm-side,-5.68,6.9,1.19,low,1.19,DM,DA,inside,2.033
2,tobrien1,R,FF,10,37,642.1,550.6,624.2,555.2,18.5,3.17,17.9,3.07,glove-side,3.07,4.6,0.78,low,0.78,DM,DI,inside,1.233
3,tobrien1,R,CB,10,61,624.3,547.6,586.9,506.5,55.6,9.55,37.4,6.43,glove-side,6.43,41.1,7.06,high,-7.06,DM,MI,inside,2.033
4,tobrien1,R,FF,10,42,640.2,546.0,635.9,493.0,53.2,9.13,4.3,0.73,glove-side,0.73,53.0,9.10,high,-9.10,DM,UM,inside,1.400
5,tobrien1,R,FF,10,85,643.9,551.9,602.0,586.3,54.3,9.32,41.9,7.19,glove-side,7.19,34.5,5.92,low,5.92,DM,DI,inside,2.833
6,tobrien1,R,FF,10,54,539.7,530.2,576.9,526.4,37.4,6.42,37.2,6.39,arm-side,-6.39,3.8,0.65,high,-0.65,DM,MA,inside,1.800
7,tobrien1,R,FF,10,51,648.1,550.0,578.2,525.7,74.0,12.71,69.9,12.00,glove-side,12.00,24.3,4.17,high,-4.17,DM,,inside,1.700
8,tobrien1,R,CB,10,90,648.1,540.5,667.5,533.9,20.5,3.53,19.4,3.34,arm-side,-3.34,6.7,1.14,high,-1.14,DM,MA,inside,3.000
9,tobrien1,R,FF,10,43,545.5,541.5,653.7,483.9,122.6,19.99,108.2,18.57,arm-side,-18.57,57.6,9.89,high,-9.89,DM,,inside,1.433
10,tobrien1,R,CB,10,68,619.0,551.3,702.2,611.7,102.8,17.66,83.3,14.29,arm-side,-14.29,60.4,10.37,low,10.37,DM,,inside,2.267
11,tobrien1,R,CB,10,44,647.8,550.7,615.4,484.1,74.1,12.72,32.5,5.57,glove-side,5.57,66.6,11.43,high,-11.43,DM,UI,inside,1.467
12,tobrien1,R,CB,10,92,630.2,545.5,642.9,509.5,38.2,6.55,12.7,2.18,arm-side,-2.18,36.0,6.18,high,-6.18,DM,MM,inside,3.067
13,tobrien1,R,FF,10,62,649.2,551.2,563.6,577.9,89.7,15.40,85.6,14.70,glove-side,14.70,26.7,4.59,low,4.59,DM,,inside,2.067
14,tobrien1,R,FF,10,44,649.5,549.8,645.8,549.3,3.8,0.65,3.8,0.65,glove-side,0.65,0.5,0.08,high,-0.08,DM,DM,inside,1.467
15,tobrien1,R,FF,10,81,642.8,544.7,575.3,510.0,75.9,13.02,67.5,11.59,glove-side,11.59,34.6,5.95,high,-5.95,DM,,inside,2.700
16,tobrien1,R,FF,10,64,649.0,549.6,594.3,550.5,54.7,9.39,54.7,9.39,glove-side,9.39,0.9,0.16,low,0.16,DM,,inside,2.133
17,tobrien1,R,FF,10,59,661.2,544.6,648.3,500.6,45.9,7.88,12.9,2.22,glove-side,2.22,44.0,7.56,high,-7.56,DM,MM,inside,1.967
18,tobrien1,R,FF,10,51,549.2,539.1,571.9,555.3,28.0,4.80,22.8,3.91,arm-side,-3.91,16.3,2.79,low,2.79,DM,DA,inside,1.700
19,tobrien1,R,FF,10,72,659.7,548.9,606.7,501.0,71.4,12.26,52.9,9.09,glove-side,9.09,48.0,8.23,high,-8.23,DM,,inside,2.400
20,tobrien1,R,FF,10,46,654.7,542.1,609.4,542.6,45.3,7.77,45.3,7.77,glove-side,7.77,0.6,0.10,low,0.10,DM,DI,inside,1.533
21,tobrien1,R,FF,10,47,657.5,543.4,653.6,574.8,31.7,5.43,4.0,0.68,glove-side,0.68,31.4,5.39,low,5.39,DM,DM,inside,1.567
22,tobrien1,R,FF,10,66,663.9,547.6,627.5,499.3,60.5,10.38,36.4,6.25,glove-side,6.25,48.3,8.29,high,-8.29,DM,UI,inside,2.200
23,tobrien1,R,CB,10,85,643.7,580.1,685.7,549.4,52.1,8.94,42.1,7.22,arm-side,-7.22,30.7,5.27,high,-5.27,DM,MA,inside,2.833
24,tobrien1,R,FF,10,46,683.2,549.2,702.3,508.5,45.0,7.72,19.1,3.28,arm-side,-3.28,40.7,6.98,high,-6.98,DM,MA,inside,1.533
25,tobrien1,R,CB,10,60,639.6,573.1,644.9,511.0,62.3,10.70,5.3,0.91,arm-side,-0.91,62.1,10.66,high,-10.66,DM,UM,inside,2.000
26,tobrien1,R,CB,10,82,640.0,606.3,653.7,581.2,28.6,4.91,13.7,2.35,arm-side,-2.35,25.1,4.31,high,-4.31,DM,MM,inside,2.733
27,tobrien1,R,FF,10,49,666.8,546.2,614.8,536.5,52.9,9.08,52.0,8.93,glove-side,8.93,9.7,1.66,high,-1.66,DM,,inside,1.633
