pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,Tpearl1,R,FF,10,98,1162.4,683.0,1088.7,598.2,112.3,19.29,73.7,12.65,glove-side,12.65,84.8,14.56,high,-14.56,DM,,outside,3.267,0
2,Tpearl1,R,FF,10,67,1150.2,609.3,1106.2,620.1,45.3,7.77,44.0,7.55,glove-side,7.55,10.8,1.85,low,1.85,DM,DI,outside,2.233,0
3,Tpearl1,R,FF,10,92,1064.9,636.5,925.5,586.6,148.0,19.99,139.4,23.93,glove-side,23.93,49.9,8.57,high,-8.57,DM,,outside,3.067,1
4,Tpearl1,R,SL,10,63,1182.9,645.2,1123.9,682.4,69.7,11.97,59.0,10.12,glove-side,10.12,37.2,6.39,low,6.39,DM,,outside,2.100,0
5,Tpearl1,R,FF,10,78,1131.8,634.8,1171.0,513.4,127.6,19.99,39.2,6.73,arm-side,-6.73,121.4,20.85,high,-20.85,DM,,outside,2.600,1
6,Tpearl1,R,FF,10,81,1143.5,642.5,1044.0,552.4,134.2,19.99,99.4,17.07,glove-side,17.07,90.1,15.47,high,-15.47,DM,,outside,2.700,1
7,Tpearl1,R,FF,10,70,1149.8,671.6,1181.1,526.6,148.3,19.99,31.3,5.37,arm-side,-5.37,145.0,24.90,high,-24.90,DM,,outside,2.333,1
8,Tpearl1,R,FF,10,101,1161.5,672.5,1072.4,738.6,111.0,19.05,89.1,15.30,glove-side,15.30,66.1,11.35,low,11.35,DM,,outside,3.367,0
9,Tpearl1,R,FF,10,103,1149.7,637.5,1110.3,461.5,180.4,19.99,39.4,6.76,glove-side,6.76,176.0,30.22,high,-30.22,DM,,outside,3.433,1
10,Tpearl1,R,FF,10,77,1166.4,640.3,1155.5,580.6,60.7,10.43,11.0,1.88,glove-side,1.88,59.7,10.25,high,-10.25,DM,UM,outside,2.567,0
11,Tpearl1,R,SL,10,137,1188.6,654.1,1261.0,745.1,116.3,19.96,72.3,12.42,arm-side,-12.42,91.0,15.62,low,15.62,DM,,outside,4.567,0
12,Tpearl1,R,FF,10,65,1156.2,642.1,1147.4,616.3,27.2,4.67,8.8,1.50,glove-side,1.50,25.8,4.42,high,-4.42,DM,MM,outside,2.167,0
13,Tpearl1,R,FF,10,155,1157.4,642.0,1191.4,625.5,37.8,6.48,33.9,5.83,arm-side,-5.83,16.6,2.84,high,-2.84,DM,MA,outside,5.167,0
14,Tpearl1,R,FF,10,99,1163.6,640.2,1116.6,561.9,91.2,15.67,47.0,8.07,glove-side,8.07,78.2,13.43,high,-13.43,DM,UI,outside,3.300,0
15,Tpearl1,R,FF,10,55,1152.7,647.5,1168.9,589.7,60.0,10.30,16.2,2.79,arm-side,-2.79,57.8,9.92,high,-9.92,DM,UA,outside,1.833,0
16,Tpearl1,R,FF,10,97,1149.4,638.8,1174.5,634.9,25.4,4.36,25.1,4.31,arm-side,-4.31,3.9,0.67,high,-0.67,DM,MA,outside,3.233,0
17,Tpearl1,R,SL,10,87,1183.0,613.6,1122.4,640.2,66.2,11.36,60.6,10.41,glove-side,10.41,26.6,4.56,low,4.56,DM,,outside,2.900,0
18,Tpearl1,R,FF,10,73,1142.4,626.3,1133.6,564.9,62.1,10.66,8.8,1.51,glove-side,1.51,61.5,10.55,high,-10.55,DM,UM,outside,2.433,0
19,Tpearl1,R,FF,10,55,1144.8,633.9,1112.5,738.3,109.3,18.76,32.3,5.54,glove-side,5.54,104.4,17.93,low,17.93,DM,,outside,1.833,0
20,Tpearl1,R,FF,10,98,1145.5,627.8,1135.0,725.1,97.9,16.81,10.4,1.79,glove-side,1.79,97.3,16.71,low,16.71,DM,,outside,3.267,0
21,Tpearl1,R,FF,10,130,1157.3,652.1,1135.8,589.3,66.4,11.40,21.5,3.69,glove-side,3.69,62.8,10.78,high,-10.78,DM,UI,outside,4.333,0
22,Tpearl1,R,FF,10,54,1141.6,654.9,1180.5,671.7,42.4,7.28,38.9,6.68,arm-side,-6.68,16.8,2.89,low,2.89,DM,DA,outside,1.800,0
23,Tpearl1,R,FF,10,96,1144.5,659.0,1058.9,736.3,115.3,19.79,85.6,14.69,glove-side,14.69,77.2,13.26,low,13.26,DM,,outside,3.200,0
24,Tpearl1,R,FF,10,87,1134.8,641.6,1129.1,606.7,35.4,6.07,5.6,0.96,glove-side,0.96,34.9,6.00,high,-6.00,DM,MM,outside,2.900,0
25,Tpearl1,R,FF,10,60,1140.8,585.6,1109.0,751.0,168.3,19.99,31.8,5.45,glove-side,5.45,165.3,28.38,low,28.38,DM,,outside,2.000,1
26,Tpearl1,R,FF,10,85,1136.8,628.2,1121.8,661.0,36.1,6.20,15.0,2.58,glove-side,2.58,32.8,5.63,low,5.63,DM,DM,outside,2.833,0
