pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp
1,TPearl1,L,FF,10,90,696.2,477.5,722.8,524.2,53.7,13.84,26.6,6.85,glove-side,6.85,46.7,12.03,low,12.03,DM,,inside,3.000
2,TPearl1,L,FF,10,98,694.2,485.1,687.9,428.0,57.4,14.79,6.3,1.62,arm-side,-1.62,57.1,14.70,high,-14.70,DM,UM,inside,3.267
3,TPearl1,L,FF,10,41,590.3,489.0,748.9,399.5,182.1,46.89,158.6,40.83,glove-side,40.83,89.5,23.05,high,-23.05,DM,,outside,1.367
4,TPearl1,L,FF,10,49,705.5,480.0,666.9,426.8,65.7,16.91,38.6,9.93,arm-side,-9.93,53.1,13.68,high,-13.68,DM,,inside,1.633
5,TPearl1,L,FF,10,86,688.7,474.1,733.9,498.1,51.1,13.17,45.2,11.63,glove-side,11.63,24.0,6.17,low,6.17,DM,,inside,2.867
6,TPearl1,L,FF,10,68,691.7,478.0,677.3,430.1,50.1,12.90,14.4,3.71,arm-side,-3.71,48.0,12.35,high,-12.35,DM,UA,inside,2.267
7,TPearl1,L,FF,10,97,684.2,483.4,702.9,393.6,91.7,23.62,18.7,4.81,glove-side,4.81,89.8,23.13,high,-23.13,DM,,inside,3.233
8,TPearl1,L,FF,10,58,689.2,474.6,729.6,496.3,45.8,11.81,40.4,10.40,glove-side,10.40,21.7,5.59,low,5.59,DM,,inside,1.933
9,TPearl1,L,FF,10,90,695.9,477.6,747.3,503.5,57.5,14.81,51.4,13.23,glove-side,13.23,25.8,6.65,low,6.65,DM,,inside,3.000
10,TPearl1,L,FF,10,98,694.4,485.4,697.8,433.3,52.1,13.43,3.4,0.87,glove-side,0.87,52.0,13.40,high,-13.40,DM,UM,inside,3.267
11,TPearl1,L,FF,10,41,800.7,476.9,759.3,484.9,42.1,10.85,41.4,10.65,arm-side,-10.65,8.0,2.07,low,2.07,DM,,inside,1.367
12,TPearl1,L,FF,10,49,705.5,479.9,666.8,426.8,65.7,16.91,38.7,9.97,arm-side,-9.97,53.0,13.66,high,-13.66,DM,,inside,1.633
13,TPearl1,L,FF,10,86,689.2,473.8,779.1,463.1,90.6,23.33,89.9,23.16,glove-side,23.16,10.7,2.76,high,-2.76,DM,,inside,2.867
14,TPearl1,L,FF,10,68,691.5,478.3,679.8,432.3,47.4,12.21,11.8,3.03,arm-side,-3.03,45.9,11.83,high,-11.83,DM,UA,inside,2.267
15,TPearl1,L,FF,10,97,684.1,483.2,703.1,393.4,91.8,23.64,19.0,4.89,glove-side,4.89,89.8,23.13,high,-23.13,DM,,inside,3.233
16,TPearl1,L,FF,10,58,689.3,474.4,801.6,530.8,125.6,32.35,112.3,28.91,glove-side,28.91,56.4,14.52,low,14.52,DM,,inside,1.933
17,TPearl1,L,FF,10,60,684.8,472.7,736.8,476.6,52.2,13.44,52.0,13.40,glove-side,13.40,3.9,1.01,low,1.01,DM,,inside,2.000
18,TPearl1,L,FF,10,52,686.3,487.0,689.6,449.5,37.6,9.69,3.2,0.83,glove-side,0.83,37.5,9.66,high,-9.66,DM,UM,inside,1.733
19,TPearl1,L,FF,10,57,596.2,500.6,616.9,467.7,38.9,10.01,20.7,5.33,glove-side,5.33,32.9,8.47,high,-8.47,DM,UI,outside,1.900
20,TPearl1,L,FF,10,106,676.8,501.5,701.0,419.0,85.9,22.13,24.1,6.22,glove-side,6.22,82.5,21.24,high,-21.24,DM,,inside,3.533
