pitch_number,pitcher_name,pitcher_hand,pitch_type,target_frame,arrival_frame,target_x,target_y,ball_x,ball_y,total_miss_px,total_miss_inches,h_miss_px,h_miss_inches,h_direction,h_miss_signed,v_miss_px,v_miss_inches,v_direction,v_miss_signed,target_quadrant,result_quadrant,target_zone,timestamp,is_outlier
1,ZTeator1,R,FF,10,113,1172.2,688.1,1138.0,501.0,190.2,19.99,34.2,5.88,glove-side,5.88,187.1,32.12,high,-32.12,DM,,outside,3.767,1
2,ZTeator1,R,FF,10,47,1170.9,682.4,1152.7,622.6,62.5,10.74,18.3,3.14,glove-side,3.14,59.8,10.27,high,-10.27,DM,UI,outside,1.567,0
3,ZTeator1,R,SL,10,78,1151.0,694.8,1161.6,769.3,75.2,12.91,10.6,1.81,arm-side,-1.81,74.5,12.79,low,12.79,DM,,outside,2.600,0
4,ZTeator1,R,FF,10,95,1174.2,670.7,1039.3,679.2,135.2,19.99,134.9,23.16,glove-side,23.16,8.5,1.45,low,1.45,DM,,outside,3.167,1
5,ZTeator1,R,FF,10,38,1174.5,690.8,1122.7,650.5,65.6,11.27,51.8,8.89,glove-side,8.89,40.3,6.92,high,-6.92,DM,,outside,1.267,0
6,ZTeator1,R,FF,10,62,1169.5,690.9,1120.3,641.7,69.7,11.96,49.2,8.45,glove-side,8.45,49.3,8.46,high,-8.46,DM,UI,outside,2.067,0
7,ZTeator1,R,SL,10,37,1126.2,668.9,1079.2,623.5,65.3,11.20,46.9,8.05,glove-side,8.05,45.4,7.79,high,-7.79,DM,MI,outside,1.233,0
8,ZTeator1,R,FF,10,66,1178.4,686.5,1092.4,695.8,86.5,14.85,86.0,14.76,glove-side,14.76,9.3,1.59,low,1.59,DM,,outside,2.200,0
9,ZTeator1,R,FF,10,81,1167.1,689.4,1089.5,612.4,109.3,18.77,77.6,13.32,glove-side,13.32,77.0,13.22,high,-13.22,DM,,outside,2.700,0
10,ZTeator1,R,FF,10,116,1179.9,681.0,1104.6,639.5,86.0,14.77,75.4,12.94,glove-side,12.94,41.4,7.11,high,-7.11,DM,,outside,3.867,0
11,ZTeator1,R,SL,10,80,1137.0,671.2,1210.4,679.9,74.0,12.70,73.5,12.61,arm-side,-12.61,8.7,1.50,low,1.50,DM,,outside,2.667,0
12,ZTeator1,R,FF,10,62,1123.7,681.4,1070.7,715.3,62.9,10.80,53.0,9.09,glove-side,9.09,33.9,5.83,low,5.83,DM,,outside,2.067,0
13,ZTeator1,R,FF,10,66,1153.1,673.9,1063.1,790.4,147.2,19.99,90.0,15.45,glove-side,15.45,116.5,20.00,low,20.00,DM,,outside,2.200,1
14,ZTeator1,R,FF,10,39,1156.6,665.0,1116.9,623.7,57.2,9.83,39.6,6.80,glove-side,6.80,41.3,7.09,high,-7.09,DM,MI,outside,1.300,0
15,ZTeator1,R,SL,10,90,1133.7,650.4,1136.0,632.4,18.1,3.11,2.2,0.38,arm-side,-0.38,18.0,3.09,high,-3.09,DM,MM,outside,3.000,0
16,ZTeator1,R,SL,10,70,1137.3,664.2,1059.1,745.2,112.6,19.33,78.2,13.42,glove-side,13.42,81.0,13.91,low,13.91,DM,,outside,2.333,0
17,ZTeator1,R,FF,10,84,1173.6,654.8,1153.0,574.0,83.4,14.32,20.6,3.54,glove-side,3.54,80.8,13.88,high,-13.88,DM,UI,outside,2.800,0
18,ZTeator1,R,FF,10,60,1176.2,669.4,1147.7,652.3,33.2,5.70,28.5,4.88,glove-side,4.88,17.2,2.95,high,-2.95,DM,MI,outside,2.000,0
19,ZTeator1,R,SL,10,74,1132.9,651.5,1152.5,619.4,37.6,6.45,19.6,3.36,arm-side,-3.36,32.1,5.51,high,-5.51,DM,MA,outside,2.467,0
20,ZTeator1,R,SL,10,100,1133.0,663.0,1239.0,690.5,109.5,18.80,106.0,18.20,arm-side,-18.20,27.6,4.73,low,4.73,DM,,outside,3.333,0
21,ZTeator1,R,FF,10,71,1183.3,685.0,1140.9,639.6,62.1,10.67,42.4,7.28,glove-side,7.28,45.4,7.79,high,-7.79,DM,UI,outside,2.367,0
22,ZTeator1,R,FF,10,34,1117.0,673.4,1152.4,515.9,161.5,19.99,35.5,6.09,arm-side,-6.09,157.6,27.05,high,-27.05,DM,,outside,1.133,1
23,ZTeator1,R,FF,10,87,1186.1,681.5,1057.3,665.2,129.8,19.99,128.8,22.11,glove-side,22.11,16.3,2.80,high,-2.80,DM,,outside,2.900,1
24,ZTeator1,R,FF,10,68,1185.3,659.8,1213.1,758.2,102.2,17.55,27.7,4.76,arm-side,-4.76,98.4,16.89,low,16.89,DM,,outside,2.267,0
25,ZTeator1,R,FF,10,89,1157.3,667.9,1155.1,549.2,118.7,19.99,2.2,0.37,glove-side,0.37,118.7,20.38,high,-20.38,DM,,outside,2.967,1
26,ZTeator1,R,SL,10,42,1124.8,639.8,1304.0,495.1,230.3,19.99,179.2,30.76,arm-side,-30.76,144.8,24.86,high,-24.86,DM,,outside,1.400,1
27,ZTeator1,R,FF,10,59,1181.1,664.3,1163.0,633.2,36.1,6.19,18.2,3.12,glove-side,3.12,31.2,5.35,high,-5.35,DM,MI,outside,1.967,0
28,ZTeator1,R,SL,10,43,1127.9,640.3,1255.2,661.8,129.1,19.99,127.3,21.85,arm-side,-21.85,21.5,3.69,low,3.69,DM,,outside,1.433,1
29,ZTeator1,R,SL,10,45,1128.2,651.2,1182.1,718.5,86.2,14.80,53.8,9.25,arm-side,-9.25,67.3,11.56,low,11.56,DM,,outside,1.500,0
30,ZTeator1,R,SL,10,71,1138.1,646.5,1263.5,676.1,128.8,19.99,125.4,21.53,arm-side,-21.53,29.6,5.08,low,5.08,DM,,outside,2.367,1
31,ZTeator1,R,FF,10,32,1166.4,662.4,1145.7,685.6,31.1,5.34,20.7,3.55,glove-side,3.55,23.2,3.99,low,3.99,DM,DI,outside,1.067,0
32,ZTeator1,R,SL,10,61,1138.5,664.7,1192.5,747.5,98.8,16.97,54.0,9.27,arm-side,-9.27,82.8,14.21,low,14.21,DM,,outside,2.033,0
33,ZTeator1,R,FF,10,58,1159.0,656.0,1149.9,614.3,42.7,7.33,9.2,1.57,glove-side,1.57,41.7,7.16,high,-7.16,DM,MM,outside,1.933,0
34,ZTeator1,R,FF,10,41,1152.6,641.7,1227.9,553.8,115.8,19.87,75.3,12.93,arm-side,-12.93,87.9,15.09,high,-15.09,DM,,outside,1.367,0
35,ZTeator1,R,SL,10,52,1133.9,665.8,1172.2,712.1,60.1,10.32,38.3,6.57,arm-side,-6.57,46.3,7.96,low,7.96,DM,,outside,1.733,0
